line	token	word	case
1	2	me	ablative
1	3	si	reflexive
2	2	me	ablative
2	3	si	reflexive
3	2	me	ablative
3	3	si	reflexive
5	1	fecemi	accusative
7	3	me	ablative
8	5	io	nominative
9	4	voi	nominative
9	5	ch'	nominative
11	2	ïo	nominative
12	3	io	nominative
12	7	lor	genitive
12	8	m'	dative
13	2	elli	nominative
13	4	me	dative
14	2	si	reflexive
16	1	Noi	nominative
16	7	i'	nominative
16	8	t'	dative
17	2	tu	nominative
18	1	c'	nominative
20	4	ond'	ablative
20	5	io	nominative
20	6	mi	reflexive
21	1	mi	accusative
24	3	io	nominative
24	6	ne	ablative
27	10	elle	ablative
28	5	qual	nominative
28	6	s'	reflexive
31	2	io	nominative
31	3	ch'	nominative
32	3	che	nominative
32	5	quel	nominative
32	6	ch'	accusative
32	7	i'	nominative
33	5	che	nominative
34	2	elli	nominative
34	4	me	dative
35	6	coloro	genitive
36	1	che	nominative
38	4	che	nominative
39	8	sé	ablative
40	1	Caccianli	accusative
41	5	li	accusative
42	8	elli	genitive
43	2	io	nominative
43	4	che	nominative
44	2	lor	ablative
44	3	che	nominative
44	5	li	accusative
45	2	Dicerolti	dative
46	1	Questi	nominative
49	3	loro	genitive
50	4	li	accusative
51	4	lor	ablative
52	2	io	nominative
53	1	che	nominative
54	5	mi	dative
55	3	le	ablative
56	4	i'	nominative
57	4	n'	ablative
58	3	io	nominative
58	4	v'	locative
59	7	colui	ablative
60	1	che	nominative
62	2	questa	nominative
64	3	che	nominative
66	6	ch'	nominative
67	1	Elle	nominative
67	3	lor	dative
68	1	che	nominative
68	6	lor	genitive
70	7	mi	reflexive
72	3	io	nominative
72	7	mi	dative
73	2	i'	nominative
74	1	le	accusative
75	2	i'	nominative
76	2	elli	nominative
76	4	me	dative
76	7	ti	dative
77	2	noi	nominative
80	6	li	dative
81	6	mi	reflexive
82	4	noi	ablative
84	4	voi	dative
86	1	i'	nominative
86	4	menarvi	accusative
88	2	tu	nominative
88	3	che	nominative
89	3	cotesti	ablative
89	4	che	nominative
90	6	io	nominative
90	8	mi	reflexive
93	6	ti	reflexive
94	4	lui	dative
94	7	ti	reflexive
95	1	vuolsi	reflexive
95	5	si	reflexive
96	1	ciò	accusative
96	2	che	accusative
96	3	si	reflexive
99	1	che	nominative
100	4	ch'	nominative
106	2	si	reflexive
108	1	ch'	nominative
108	5	che	nominative
110	1	loro	dative
110	3	tutte	accusative
110	4	le	accusative
111	4	qualunque	accusative
111	5	s'	reflexive
112	4	si	reflexive
113	2	una	nominative
118	2	sen	reflexive+ablative
120	6	s'	reflexive
122	1	quelli	nominative
122	2	che	nominative
123	1	tutti	nominative
125	5	li	accusative
126	5	si	reflexive
128	6	te	ablative
128	7	si	reflexive
130	2	questo	nominative
132	6	mi	accusative
134	1	che	nominative
135	2	qual	nominative
135	3	mi	dative
136	6	cui	accusative
