line	token	word	case
1	7	noi	ablative
2	3	che	nominative
2	4	n'	ablative
3	1	avendomi	accusative
4	2	quei	accusative
4	3	c'	nominative
5	2	n'	ablative
6	5	ciò	accusative
7	2	io	nominative
8	1	m'	reflexive
13	5	che	nominative
13	7	noi	ablative
15	1	che	nominative
15	5	mi	dative
16	4	te	ablative
18	4	mi	dative
19	2	dimmi	dative
19	6	mi	accusative
20	4	m'	dative
21	5	meco	ablative
24	2	quanto	ablative
27	6	m'	dative
29	1	che	nominative
30	5	che	nominative
31	6	m'	dative
32	3	i'	nominative
33	6	io	nominative
35	3	me	ablative
37	6	io	nominative
38	2	io	nominative
38	6	tu	nominative
40	2	che	ablative
40	5	tu	nominative
43	2	m'	reflexive
44	8	mi	reflexive
45	3	quel	ablative
46	1	Quanti	nominative
47	3	che	nominative
49	6	che	nominative
51	2	esso	ablative
52	3	io	nominative
53	1	che	nominative
53	6	purgarmi	reflexive
54	5	m'	dative
55	3	tu	nominative
58	2	quello	ablative
58	5	teco	ablative
59	4	ti	accusative
60	4	qual	ablative
62	1	ti	accusative
62	5	tu	nominative
64	2	elli	nominative
64	4	lui	dative
64	5	Tu	nominative
64	7	m'	accusative
66	5	m'	accusative
67	3	quei	ablative
67	4	che	nominative
68	1	che	nominative
68	7	sé	dative
69	3	sé	ablative
70	4	si	reflexive
73	2	te	ablative
73	6	te	ablative
74	4	mei	accusative
74	5	ciò	accusative
74	6	ch'	accusative
74	7	io	nominative
80	1	si	reflexive
81	2	io	nominative
81	4	visitarli	accusative
82	1	Vennermi	dative
83	4	li	accusative
85	7	me	ablative
85	8	si	reflexive
86	1	io	nominative
86	2	li	dative
87	4	me	dative
88	4	io	nominative
89	5	io	nominative
90	7	mi	reflexive
93	2	mi	accusative
94	1	Tu	nominative
94	3	che	nominative
95	1	che	nominative
95	2	m'	accusative
95	6	io	nominative
97	1	dimmi	dative
98	7	lo	accusative
99	1	dimmi	dative
100	1	Costoro	nominative
100	5	io	nominative
100	7	altri	nominative
102	1	che	accusative
102	7	altri	accusative
105	1	che	nominative
105	7	seco	ablative
106	4	nosco	ablative
108	2	che	nominative
109	2	si	reflexive
112	2	quella	nominative
112	3	che	nominative
121	5	Io	nominative
122	5	ne	ablative
127	1	Elli	nominative
127	5	io	nominative
129	4	mi	dative
131	3	che	accusative
133	6	si	reflexive
134	6	quello	nominative
135	2	io	nominative
138	2	si	reflexive
139	7	s'	reflexive
144	6	ch'	nominative
144	9	voi	ablative
145	6	lor	genitive
152	1	che	nominative
153	3	elli	nominative
154	5	v'	locative
