line	token	word	deprel	head_line	head_token
1	1	Già	advmod	1	3
1	2	era	cop	1	3
1	3	dritta	root	0	0
1	4	in	case	1	5
1	5	sù	obl	1	3
1	6	la	det	1	7
1	7	fiamma	nsubj	1	3
1	8	e	cc	1	9
1	9	queta	conj	1	3
2	1	per	mark	2	3
2	2	non	advmod	2	3
2	3	dir	advcl	1	3
2	4	più	advmod	2	3
2	5	e	cc	2	9
2	6	già	advmod	2	9
2	7	da	case	2	8
2	8	noi	obl	2	9
2	9	sen	conj	1	3
2	10	gia	advmod	2	9
3	1	con	case	3	3
3	2	la	det	3	3
3	3	licenza	obl	2	9
3	4	del	case	3	6
3	5	dolce	amod	3	6
3	6	poeta	nmod	3	3
4	1	quand'	mark	5	2
4	2	un'	det	4	3
4	3	altra	nsubj	5	2
4	4	che	nsubj	4	8
4	5	dietro	advmod	4	8
4	6	a	case	4	7
4	7	lei	obl	4	8
4	8	venìa	acl:relcl	4	3
5	1	ne	obl	5	2
5	2	fece	advcl	2	9
5	3	volger	xcomp	5	2
5	4	li	det	5	5
5	5	occhi	obj	5	3
5	6	a	case	5	9
5	7	la	det	5	9
5	8	sua	amod	5	9
5	9	cima	obl	5	3
6	1	per	case	6	4
6	2	un	det	6	4
6	3	confuso	amod	6	4
6	4	suon	obl	5	2
6	5	che	nsubj	6	8
6	6	fuor	advmod	6	8
6	7	n'	obl	6	8
6	8	uscia	acl:relcl	6	4
7	1	Come	advmod	15	2
7	2	'l	det	7	3
7	3	bue	nsubj	10	1
7	4	cicilian	amod	7	3
7	5	che	nsubj	7	6
7	6	mugghiò	acl:relcl	7	3
7	7	prima	advmod	7	6
8	1	col	case	8	2
8	2	pianto	obl	7	6
8	3	di	case	8	4
8	4	colui	nmod	8	2
8	5	e	cc	8	7
8	6	ciò	nsubj	8	7
8	7	fu	conj	7	6
8	8	dritto	attr	8	7
9	1	che	nsubj	9	4
9	2	l'	obj	9	4
9	3	avea	aux	9	4
9	4	temperato	acl:relcl	8	4
9	5	con	case	9	7
9	6	sua	det:poss	9	7
9	7	lima	obl	9	4
10	1	mugghiava	advcl	15	2
10	2	con	case	10	4
10	3	la	det	10	4
10	4	voce	obl	10	1
10	5	de	case	10	7
10	6	l'	det	10	7
10	7	afflitto	nmod	10	4
11	1	sì	advmod	11	2
11	2	che	mark	12	3
11	3	con	case	11	4
11	4	tutto	obl	12	3
11	5	che	mark	11	6
11	6	fosse	advcl	12	3
11	7	di	case	11	8
11	8	rame	attr	11	6
12	1	pur	advmod	12	3
12	2	el	nsubj	12	3
12	3	pareva	advcl	10	1
12	4	dal	case	12	5
12	5	dolor	obl	12	6
12	6	trafitto	xcomp	12	3
13	1	così	advmod	15	2
13	2	per	case	13	4
13	3	non	advmod	13	4
13	4	aver	obl	15	2
13	5	via	obj	13	4
13	6	né	cc	13	7
13	7	forame	conj	13	5
14	1	dal	case	14	2
14	2	principio	obl	15	2
14	3	nel	case	14	4
14	4	foco	nmod	14	2
14	5	in	case	14	7
14	6	suo	det:poss	14	7
14	7	linguaggio	obl	15	2
15	1	si	expl	15	2
15	2	convertïan	root	0	0
15	3	le	det	15	4
15	4	parole	nsubj	15	2
15	5	grame	amod	15	4
16	1	Ma	advmod	19	1
16	2	poscia	advmod	16	5
16	3	ch'	mark	16	5
16	4	ebber	aux	16	5
16	5	colto	advcl	19	1
16	6	lor	det:poss	16	7
16	7	vïaggio	obj	16	5
17	1	su	advmod	17	4
17	2	per	case	17	4
17	3	la	det	17	4
17	4	punta	obl	16	5
17	5	dandole	advcl	16	5
17	6	quel	det	17	7
17	7	guizzo	obj	17	5
18	1	che	nsubj	18	2
18	2	dato	acl:relcl	17	7
18	3	avea	aux	18	2
18	4	la	det	18	5
18	5	lingua	obj	18	2
18	6	in	case	18	8
18	7	lor	det:poss	18	8
18	8	passaggio	obl	18	2
19	1	udimmo	root	0	0
19	2	dire	xcomp	19	1
19	3	O	vocative	19	4
19	4	tu	vocative	23	3
19	5	a	case	19	6
19	6	cu'	obl	19	8
19	7	io	nsubj	19	8
19	8	drizzo	acl:relcl	19	4
20	1	la	det	20	2
20	2	voce	obj	19	8
20	3	e	cc	20	5
20	4	che	nsubj	20	5
