line	token	word	deprel	head_line	head_token
1	1	Qual	nsubj	1	2
1	2	venne	advcl	4	2
1	3	a	case	1	4
1	4	Climenè	obl	1	2
1	5	per	case	1	6
1	6	accertarsi	advcl	1	2
2	1	di	case	2	2
2	2	ciò	obj	1	6
2	3	ch'	nsubj	2	8
2	4	avëa	aux	2	8
2	5	incontro	advmod	2	8
2	6	a	case	2	7
2	7	sé	obl	2	8
2	8	udito	acl:relcl	2	2
3	1	quei	appos	1	1
3	2	ch'	nsubj	3	4
3	3	ancor	advmod	3	4
3	4	fa	acl:relcl	3	1
3	5	li	det	3	6
3	6	padri	obj	3	4
3	7	ai	case	3	8
3	8	figli	obl	3	4
3	9	scarsi	obj	3	4
4	1	tal	attr	4	2
4	2	era	root	0	0
4	3	io	nsubj	4	2
4	4	e	cc	4	7
4	5	tal	advmod	4	7
4	6	era	aux	4	7
4	7	sentito	conj	4	2
5	1	e	cc	5	3
5	2	da	case	5	3
5	3	Beatrice	obl	4	7
5	4	e	cc	5	8
5	5	da	case	5	8
5	6	la	det	5	8
5	7	santa	amod	5	8
5	8	lampa	obl	4	7
6	1	che	nsubj	6	6
6	2	pria	advmod	6	6
6	3	per	case	6	4
6	4	me	obl	6	6
6	5	avea	aux	6	6
6	6	mutato	acl:relcl	5	8
6	7	sito	obj	6	6
7	1	Per	case	8	5
7	2	che	mark	8	5
7	3	mia	det:poss	7	4
7	4	donna	nsubj	8	5
7	5	Manda	ccomp	8	5
7	6	fuor	advmod	7	5
7	7	la	det	7	8
7	8	vampa	obj	7	5
8	1	del	case	8	3
8	2	tuo	det:poss	8	3
8	3	disio	nmod	7	8
8	4	mi	iobj	8	5
8	5	disse	root	0	0
8	6	sì	advmod	8	9
8	7	ch'	mark	8	9
8	8	ella	nsubj	8	9
8	9	esca	advcl	7	5
9	1	segnata	acl	8	8
9	2	bene	advmod	9	1
9	3	de	case	9	6
9	4	la	det	9	6
9	5	interna	amod	9	6
9	6	stampa	obl	9	1
10	1	non	advmod	10	5
10	2	perché	mark	10	5
