line	token	word	role	arg_line	arg_token
1	2	era	subj	0	0
1	2	era	obl:in	1	4
1	7	udia	subj	1	9
2	5	cadea	subj	2	4
2	5	cadea	obl:in	2	9
3	7	fanno	subj	3	6
3	7	fanno	obj	3	4
3	7	fanno	attr	3	8
4	6	partiro	subj	4	3
4	6	partiro	obj	4	5
5	1	correndo	subj	0	0
5	6	passava	subj	5	5
5	6	passava	obl:sotto	6	3
6	0			0	0
7	1	Venian	subj	0	0
7	1	Venian	obl:verso	7	3
7	6	gridava	subj	7	5
7	6	gridava	ccomp	8	1
8	1	Sòstati	subj	8	2
8	1	Sòstati	obl	8	8
8	8	sembri	subj	8	2
8	8	sembri	xcomp	9	1
8	8	sembri	obl:a	8	6
8	8	sembri	obl	8	7
9	1	esser	subj	9	2
9	1	esser	obl:di	9	5
10	4	vidi	subj	0	0
10	4	vidi	obj	10	3
10	4	vidi	obl:in	10	7
11	7	incese	subj	10	3
11	7	incese	obl:da	11	6
12	3	duol	iobj	12	2
12	3	duol	ccomp	12	9
12	3	duol	obl	12	1
12	3	duol	obl	12	4
12	9	rimembri	subj	12	6
12	9	rimembri	obj	12	7
12	9	rimembri	obl	12	8
13	9	attese	subj	13	7
13	9	attese	obl:a	13	4
14	1	volse	subj	0	0
14	1	volse	obj	14	3
14	1	volse	obl:verso	14	5
14	8	aspetta	subj	0	0
15	1	disse	subj	0	0
15	1	disse	ccomp	14	8
15	1	disse	ccomp	15	5
15	5	vuole	subj	0	0
15	5	vuole	xcomp	15	6
15	5	vuole	obl:a	15	3
15	6	esser	subj	0	0
15	6	esser	attr	15	7
16	4	fosse	subj	16	6
16	8	saetta	subj	16	7
16	8	saetta	obj	17	2
17	6	dicerei	subj	17	5
17	6	dicerei	ccomp	18	3
18	3	stesse	subj	18	10
18	3	stesse	obl:a	18	5
18	3	stesse	obl:a	18	8
19	1	Ricominciar	subj	19	5
19	1	Ricominciar	obj	20	3
19	4	restammo	subj	19	3
20	9	giunti	subj	0	0
20	9	giunti	obl:a	20	7
21	1	fenno	subj	21	8
21	1	fenno	obj	21	3
21	1	fenno	obl:di	21	5
22	2	sogliono	subj	22	4
22	2	sogliono	xcomp	22	5
22	5	far	subj	0	0
22	5	far	attr	22	6
22	5	far	attr	22	8
22	5	far	obl	22	1
23	1	avvisando	subj	0	0
23	1	avvisando	obj	23	3
23	1	avvisando	obj	23	6
24	6	battuti	subj	0	0
24	6	battuti	obl:tra	24	5
24	8	punti	subj	0	0
24	8	punti	obl:tra	24	5
25	2	rotando	subj	0	0
26	1	drizzava	subj	25	3
26	1	drizzava	obj	25	5
26	1	drizzava	obl:a	26	3
27	1	faceva	subj	26	9
27	1	faceva	obj	27	5
27	1	faceva	obl:in	26	7
27	1	faceva	obl:a	27	3
28	0			0	0
29	1	rende	subj	28	3
29	1	rende	obj	29	4
30	1	cominciò	subj	30	3
31	7	pieghi	subj	31	2
31	7	pieghi	obj	31	6
32	5	se'	subj	32	4
32	5	se'	attr	32	3
33	6	freghi	subj	32	6
33	6	freghi	obl:per	33	5
34	6	pestar	subj	34	7
34	6	pestar	obj	34	3
34	8	vedi	subj	0	0
34	8	vedi	obj	34	7
34	8	vedi	xcomp	34	6
35	6	vada	subj	0	0
35	6	vada	attr	35	3
35	6	vada	attr	35	5
36	1	fu	subj	34	1
36	1	fu	obl:di	36	3
36	8	credi	subj	36	6
36	8	credi	ccomp	36	1
37	2	fu	subj	0	0
37	2	fu	attr	37	1
37	2	fu	obl:di	37	6
38	3	ebbe	subj	38	2
38	3	ebbe	obj	38	4
38	3	ebbe	obl:in	38	8
39	1	fece	subj	0	0
39	1	fece	obl:con	39	3
39	1	fece	obl:con	39	8
40	4	appresso	obl	40	7
41	0			0	0
42	0			0	0
43	4	posto	subj	43	3
43	4	posto	obl:con	43	7
43	4	posto	obl:in	43	9
44	3	fui	subj	43	2
44	3	fui	attr	44	2
45	8	nuoce	subj	45	3
45	8	nuoce	iobj	45	7
45	8	nuoce	obl	45	6
46	7	coperto	subj	46	2
46	7	coperto	obl:da	46	6
47	1	gittato	subj	0	0
47	1	gittato	obl:tra	47	5
47	1	gittato	obl	47	7
48	2	credo	subj	0	0
48	2	credo	ccomp	48	8
48	8	sofferto	subj	48	5
48	8	sofferto	obj	48	6
49	6	brusciato	subj	49	3
49	6	brusciato	obj	49	4
49	8	cotto	subj	49	3
49	8	cotto	obj	49	4
50	1	vinse	subj	50	6
50	1	vinse	obj	50	2
51	4	abbracciar	obj	51	3
51	6	facea	subj	51	1
51	6	facea	obj	51	5
51	6	facea	attr	51	7
51	6	facea	xcomp	51	4
52	2	cominciai	subj	0	0
52	2	cominciai	ccomp	53	6
53	6	fisse	subj	53	3
53	6	fisse	obj	52	4
53	6	fisse	obj	52	6
53	6	fisse	iobj	53	5
53	6	fisse	obl	53	4
54	6	dispoglia	subj	54	4
54	6	dispoglia	obj	54	5
55	7	disse	subj	55	5
55	7	disse	obj	56	1
55	7	disse	iobj	55	6
56	7	pensai	subj	56	5
56	7	pensai	ccomp	57	7
56	7	pensai	obl:per	56	4
57	4	siete	subj	57	3
57	4	siete	attr	57	2
57	7	venisse	subj	57	6
57	7	venisse	obl	57	4
58	4	sono	subj	0	0
58	4	sono	obl:di	58	3
59	0			0	0
60	3	ritrassi	subj	0	0
60	3	ritrassi	obj	59	2
60	3	ritrassi	obj	59	8
60	3	ritrassi	obl	58	6
60	3	ritrassi	obl:con	60	2
60	5	ascoltai	subj	0	0
60	5	ascoltai	obj	59	2
60	5	ascoltai	obj	59	8
60	5	ascoltai	obl	58	6
60	5	ascoltai	obl:con	60	2
61	1	Lascio	subj	0	0
61	1	Lascio	obj	61	3
61	5	vo	subj	0	0
61	5	vo	obl:per	61	8
62	1	promessi	subj	61	8
62	1	promessi	iobj	62	3
62	1	promessi	obl:per	62	7
63	6	convien	ccomp	63	9
63	6	convien	obl:a	63	4
63	6	convien	obl	63	5
63	9	tomi	subj	63	8
64	5	conduca	subj	64	4
64	5	conduca	obj	65	2
65	4	rispuose	subj	65	5
65	4	rispuose	ccomp	64	5
66	8	luca	subj	66	4
66	8	luca	obl:dopo	66	7
67	6	dimora	subj	67	1
