line	token	word	role	arg_line	arg_token
1	0			0	0
2	3	chiarito	subj	1	4
2	3	chiarito	obj	2	1
2	5	narrò	subj	0	0
2	5	narrò	obj	2	7
2	5	narrò	iobj	2	4
3	2	ricever	subj	0	0
3	2	ricever	obj	3	1
3	3	dovea	subj	3	6
3	3	dovea	xcomp	3	2
4	2	disse	subj	0	0
4	2	disse	ccomp	4	3
4	2	disse	ccomp	4	5
4	3	Taci	subj	0	0
4	5	lascia	subj	0	0
4	5	lascia	xcomp	4	6
4	6	muover	subj	0	0
4	6	muover	obj	4	8
5	5	posso	subj	5	3
5	5	posso	xcomp	5	6
5	6	dir	subj	0	0
5	6	dir	ccomp	6	2
6	2	verrà	subj	5	10
6	2	verrà	obl	6	4
6	2	verrà	obl:a	6	7
7	0			0	0
8	1	rivolta	subj	7	4
8	1	rivolta	obl:a	8	5
8	1	rivolta	obl	9	3
8	8	rïempie	subj	8	6
8	8	rïempie	obj	8	7
9	8	è	subj	9	4
9	8	è	attr	9	9
9	8	è	obl:a	9	7
10	0			0	0
11	6	torcete	subj	11	1
11	6	torcete	obj	11	8
11	6	torcete	obl:da	11	5
12	1	drizzando	subj	0	0
12	1	drizzando	obj	12	6
12	1	drizzando	obl:in	12	3
13	0			0	0
14	4	fece	subj	13	4
14	4	fece	obj	14	3
14	4	fece	obl:verso	14	2
14	9	piacermi	subj	0	0
15	1	significava	subj	14	8
15	1	significava	obl:in	15	3
16	0			0	0
17	0			0	0
18	5	fermi	subj	16	2
19	2	metti	subj	0	0
19	2	metti	obj	19	7
19	2	metti	obl:a	19	5
20	3	dissi	subj	0	0
20	3	dissi	ccomp	19	2
20	3	dissi	ccomp	20	5
20	5	fammi	subj	0	0
20	5	fammi	obj	20	6
21	3	possa	subj	21	2
21	3	possa	xcomp	21	6
21	6	refletter	subj	0	0
21	6	refletter	obj	21	7
21	6	refletter	obl:in	21	5
21	10	penso	subj	21	9
21	10	penso	obj	21	8
22	6	era	subj	22	4
22	6	era	iobj	22	5
22	6	era	attr	22	8
23	7	cantava	subj	23	5
23	7	cantava	obl	23	4
24	1	seguette	subj	0	0
24	1	seguette	obl	24	2
24	7	far	subj	0	0
24	7	far	obj	24	6
24	8	giova	iobj	24	4
24	8	giova	ccomp	24	7
25	0			0	0
26	3	siede	subj	26	2
26	3	siede	obl:tra	26	5
