line	l1_index	text	restored
1	0	Nel	Nel
1	1	mezzo	mezzo
1	2	del	del
1	3	cammin	cammino
1	4	di	di
1	5	nostra	nostra
1	6	vita	vita
2	0	mi	mi
2	1	ritrovai	ritrovai
2	2	per	per
2	3	una	una
2	4	selva	selva
2	5	oscura	oscura
2	6	,	,
3	0	ché	ché
3	1	la	la
3	2	diritta	diritta
3	3	via	via
3	4	era	era
3	5	smarrita	smarrita
3	6	.	.
4	0	Ahi	Ahi
4	1	quanto	quanto
4	2	a	a
4	3	dir	dire
4	4	qual	qual
4	5	era	era
4	6	è	è
4	7	cosa	cosa
4	8	dura	dura
5	0	esta	esta
5	1	selva	selva
5	2	selvaggia	selvaggia
5	3	e	e
5	4	aspra	aspra
5	5	e	e
5	6	forte	forte
6	0	che	che
6	1	nel	nel
6	2	pensier	pensiero
6	3	rinova	rinova
6	4	la	la
6	5	paura	paura
6	6	!	!
7	0	Tant'	Tanto
7	1	è	è
7	2	amara	amara
7	3	che	che
7	4	poco	poco
7	5	è	è
7	6	più	più
7	7	morte	morte
7	8	;	;
8	0	ma	ma
8	1	per	per
8	2	trattar	trattare
8	3	del	del
8	4	ben	bene
8	5	ch'	che
8	6	i'	io
8	7	vi	vi
8	8	trovai	trovai
8	9	,	,
9	0	dirò	dirò
9	1	de	de
9	2	l'	le
9	3	altre	altre
9	4	cose	cose
9	5	ch'	che
9	6	i'	io
9	7	v'	vi
9	8	ho	ho
9	9	scorte	scorte
9	10	.	.
10	0	Io	Io
10	1	non	non
10	2	so	so
10	3	ben	bene
10	4	ridir	ridire
10	5	com'	come
10	6	i'	io
10	7	v'	vi
10	8	intrai	intrai
10	9	,	,
11	0	tant'	tanto
11	1	era	era
11	2	pien	pieno
11	3	di	di
11	4	sonno	sonno
11	5	a	a
11	6	quel	quel
11	7	punto	punto
12	0	che	che
12	1	la	la
12	2	verace	verace
12	3	via	via
12	4	abbandonai	abbandonai
12	5	.	.
13	0	Ma	Ma
13	1	poi	poi
13	2	ch'	che
13	3	i'	io
13	4	fui	fui
13	5	al	al
13	6	piè	piè
13	7	d'	di
13	8	un	un
13	9	colle	colle
13	10	giunto	giunto
13	11	,	,
14	0	là	là
14	1	dove	dove
14	2	terminava	terminava
14	3	quella	quella
14	4	valle	valle
15	0	che	che
15	1	m'	mi
15	2	avea	avea
15	3	di	di
15	4	paura	paura
15	5	il	il
15	6	cor	core
15	7	compunto	compunto
15	8	,	,
16	0	guardai	guardai
16	1	in	in
16	2	alto	alto
16	3	e	e
16	4	vidi	vidi
16	5	le	le
16	6	sue	sue
16	7	spalle	spalle
17	0	vestite	vestite
17	1	già	già
17	2	de'	dei
17	3	raggi	raggi
17	4	del	del
17	5	pianeta	pianeta
18	0	che	che
18	1	mena	mena
18	2	dritto	dritto
18	3	altrui	altrui
18	4	per	per
18	5	ogne	ogne
18	6	calle	calle
18	7	.	.
19	0	Allor	Allora
19	1	fu	fu
19	2	la	la
19	3	paura	paura
19	4	un	un
19	5	poco	poco
19	6	queta	queta
19	7	,	,
20	0	che	che
20	1	nel	nel
20	2	lago	lago
20	3	del	del
20	4	cor	core
20	5	m'	mi
20	6	era	era
20	7	durata	durata
21	0	la	la
21	1	notte	notte
21	2	ch'	che
21	3	i'	io
21	4	passai	passai
21	5	con	con
21	6	tanta	tanta
21	7	pieta	pieta
21	8	.	.
22	0	E	E
22	1	come	come
22	2	quei	quei
22	3	che	che
22	4	con	con
22	5	lena	lena
22	6	affannata	affannata
22	7	,	,
23	0	uscito	uscito
23	1	fuor	fuori
23	2	del	del
23	3	pelago	pelago
23	4	a	a
23	5	la	la
23	6	riva	riva
23	7	,	,
24	0	si	si
24	1	volge	volge
24	2	a	a
24	3	l'	la
24	4	acqua	acqua
24	5	perigliosa	perigliosa
24	6	e	e
24	7	guata	guata
24	8	,	,
25	0	così	così
25	1	l'	lo
25	2	animo	animo
25	3	mio	mio
25	4	,	,
25	5	ch'	che
25	6	ancor	ancora
25	7	fuggiva	fuggiva
25	8	,	,
26	0	si	si
26	1	volse	volse
26	2	a	a
26	3	retro	retro
26	4	a	a
26	5	rimirar	rimirare
26	6	lo	lo
26	7	passo	passo
27	0	che	che
27	1	non	non
27	2	lasciò	lasciò
27	3	già	già
27	4	mai	mai
27	5	persona	persona
27	6	viva	viva
27	7	.	.
28	0	Poi	Poi
28	1	ch'	che
28	2	èi	èi
28	3	posato	posato
28	4	un	un
28	5	poco	poco
28	6	il	il
28	7	corpo	corpo
28	8	lasso	lasso
28	9	,	,
29	0	ripresi	ripresi
29	1	via	via
29	2	per	per
29	3	la	la
29	4	piaggia	piaggia
29	5	diserta	diserta
29	6	,	,
30	0	sì	sì
30	1	che	che
30	2	'l	'l
30	3	piè	piè
30	4	fermo	fermo
30	5	sempre	sempre
30	6	era	era
30	7	'l	'l
30	8	più	più
30	9	basso	basso
30	10	.	.
31	0	Ed	Ed
31	1	ecco	ecco
31	2	,	,
31	3	quasi	quasi
31	4	al	al
31	5	cominciar	cominciare
31	6	de	de
31	7	l'	la
31	8	erta	erta
31	9	,	,
32	0	una	una
32	1	lonza	lonza
32	2	leggera	leggera
32	3	e	e
32	4	presta	presta
32	5	molto	molto
32	6	,	,
33	0	che	che
33	1	di	di
33	2	pel	pel
33	3	macolato	macolato
33	4	era	era
33	5	coverta	coverta
33	6	;	;
34	0	e	e
34	1	non	non
34	2	mi	mi
34	3	si	si
34	4	partia	partia
34	5	dinanzi	dinanzi
34	6	al	al
34	7	volto	volto
34	8	,	,
35	0	anzi	anzi
35	1	'mpediva	impediva
35	2	tanto	tanto
35	3	il	il
35	4	mio	mio
35	5	cammino	cammino
35	6	,	,
36	0	ch'	che
36	1	i'	io
36	2	fui	fui
36	3	per	per
36	4	ritornar	ritornare
36	5	più	più
36	6	volte	volte
36	7	vòlto	vòlto
36	8	.	.
37	0	Temp'	Tempo
37	1	era	era
37	2	dal	dal
37	3	principio	principio
37	4	del	del
37	5	mattino	mattino
37	6	,	,
38	0	e	e
38	1	'l	il
38	2	sol	sole
38	3	montava	montava
38	4	'n	in
38	5	sù	sù
38	6	con	con
38	7	quelle	quelle
38	8	stelle	stelle
39	0	ch'	che
39	1	eran	erano
39	2	con	con
39	3	lui	lui
39	4	quando	quando
39	5	l'	lo
39	6	amor	amore
39	7	divino	divino
40	0	mosse	mosse
40	1	di	di
40	2	prima	prima
40	3	quelle	quelle
40	4	cose	cose
40	5	belle	belle
40	6	;	;
41	0	sì	sì
41	1	ch'	che
41	2	a	a
41	3	bene	bene
41	4	sperar	sperare
41	5	m'	mi
41	6	era	era
41	7	cagione	cagione
42	0	di	di
42	1	quella	quella
42	2	fiera	fiera
42	3	a	a
42	4	la	la
42	5	gaetta	gaetta
42	6	pelle	pelle
43	0	l'	la
43	1	ora	ora
43	2	del	del
43	3	tempo	tempo
43	4	e	e
43	5	la	la
43	6	dolce	dolce
43	7	stagione	stagione
43	8	;	;
44	0	ma	ma
44	1	non	non
44	2	sì	sì
44	3	che	che
44	4	paura	paura
44	5	non	non
44	6	mi	mi
44	7	desse	desse
45	0	la	la
45	1	vista	vista
45	2	che	che
45	3	m'	mi
45	4	apparve	apparve
45	5	d'	di
45	6	un	un
45	7	leone	leone
45	8	.	.
46	0	Questi	Questi
46	1	parea	parea
46	2	che	che
46	3	contra	contra
46	4	me	me
46	5	venisse	venisse
47	0	con	con
47	1	la	la
47	2	test'	testa
47	3	alta	alta
47	4	e	e
47	5	con	con
47	6	rabbiosa	rabbiosa
47	7	fame	fame
47	8	,	,
48	0	sì	sì
48	1	che	che
48	2	parea	parea
48	3	che	che
48	4	l'	lo
48	5	aere	aere
48	6	ne	ne
48	7	tremesse	tremesse
48	8	.	.
49	0	Ed	Ed
49	1	una	una
49	2	lupa	lupa
49	3	,	,
49	4	che	che
49	5	di	di
49	6	tutte	tutte
49	7	brame	brame
50	0	sembiava	sembiava
50	1	carca	carca
50	2	ne	ne
50	3	la	la
50	4	sua	sua
50	5	magrezza	magrezza
50	6	,	,
51	0	e	e
51	1	molte	molte
51	2	genti	genti
51	3	fé	fé
51	4	già	già
51	5	viver	vivere
51	6	grame	grame
51	7	,	,
52	0	questa	questa
52	1	mi	mi
52	2	porse	porse
52	3	tanto	tanto
52	4	di	di
52	5	gravezza	gravezza
53	0	con	con
53	1	la	la
53	2	paura	paura
53	3	ch'	che
53	4	uscia	uscia
53	5	di	di
53	6	sua	sua
53	7	vista	vista
53	8	,	,
54	0	ch'	che
54	1	io	io
54	2	perdei	perdei
54	3	la	la
54	4	speranza	speranza
54	5	de	de
54	6	l'	la
54	7	altezza	altezza
54	8	.	.
55	0	E	E
55	1	qual	qual
55	2	è	è
55	3	quei	quei
55	4	che	che
55	5	volontieri	volontieri
55	6	acquista	acquista
55	7	,	,
56	0	e	e
56	1	giugne	giugne
56	2	'l	il
