line	word	lemma	pos	gender	number	person	tense	mood	note
1	La	lo/la	article	f.	sg.				
1	molta	molto	adjective	f.	sg.				
1	gente	gente	noun	f.	sg.				
1	e	e	conjunction						
1	le	lo/la	article	f.	pl.				
1	diverse	diverso	adjective	f.	pl.				
1	piaghe	piaga	noun	f.	pl.				
2	avean	avere	verb		pl.	3	imperfect	indicative	apocope
2	le	lo/la	article	f.	pl.				
2	luci	luce	noun	f.	pl.				
2	mie	mio	adjective	f.	pl.				
2	sì	sì	adverb						
2	inebrïate	inebriare	adjective	f.	pl.				
3	che	che	conjunction						
3	de	di	preposition						archaic
3	lo	lo	article	m.	sg.				
3	stare	stare	verb				infinitive		
3	a	a	preposition						
3	piangere	piangere	verb				infinitive		
3	eran	essere	verb		pl.	3	imperfect	indicative	apocope
3	vaghe	vago	adjective	f.	pl.				
4	Ma	ma	conjunction						
4	Virgilio	Virgilio	proper noun	m.	sg.				
4	mi	mi	pronoun		sg.	1			
4	disse	dire	verb		sg.	3	remote past	indicative	
4	Che	che	pronoun		sg.				
4	pur	pure	adverb						apocope
4	guate	guatare	verb		pl.	2	present	indicative	
5	perché	perché	conjunction						
5	la	la	article	f.	sg.				
5	vista	vista	noun	f.	sg.				
5	tua	tuo	adjective	f.	sg.				
5	pur	pure	adverb						apocope
5	si	si	pronoun		sg.	3			reflexive
5	soffolge	soffolgere	verb		sg.	3	present	indicative	
6	là	là	adverb						
6	giù	giù	adverb						
6	tra	tra	preposition						
6	l'	le	article	f.	pl.				elision
6	ombre	ombra	noun	f.	pl.				
6	triste	triste	adjective	f.	pl.				archaic
6	smozzicate	smozzicare	adjective	f.	pl.				
7	Tu	tu	pronoun		sg.	2			
7	non	non	adverb						
7	hai	avere	verb		sg.	2	present	indicative	
7	fatto	fare	verb		sg.		past participle		
7	sì	così	adverb						archaic
7	a	a	preposition						
7	l'	le	article	f.	pl.				elision
7	altre	altro	adjective	f.	pl.				
7	bolge	bolgia	noun	f.	pl.				
8	pensa	pensare	verb		sg.	2	present	imperative	
8	se	se	conjunction						
8	tu	tu	pronoun		sg.	2			
