line	word	lemma	pos	gender	number	person	tense	mood	note
1	Oppresso	opprimere	adjective	m.	sg.				
1	di	di	preposition						
1	stupore	stupore	noun	m.	sg.				
1	a	a	preposition						
1	la	lo/la	article	f.	sg.				
1	mia	mio	adjective	f.	sg.				
1	guida	guida	noun	f.	sg.				
2	mi	mi	pronoun		sg.	1			reflexive
2	volsi	volgersi	verb		sg.	1	remote past	indicative	
2	come	come	conjunction						
2	parvol	parvulo	noun	m.	sg.				apocope
2	che	che	pronoun						relative
2	ricorre	ricorrere	verb		sg.	3	present	indicative	
3	sempre	sempre	adverb						
3	colà	colà	adverb						
3	dove	dove	adverb						
3	più	più	adverb						
3	si	si	pronoun		sg.	3			impersonal
3	confida	confidare	verb		sg.	3	present	indicative	
4	e	e	conjunction						
4	quella	quello	pronoun	f.	sg.				
4	come	come	conjunction						
4	madre	madre	noun	f.	sg.				
4	che	che	pronoun		sg.				
4	soccorre	soccorrere	verb		sg.	3	present	indicative	
5	sùbito	subito	adverb						
5	al	a+il	preposition+article	m.	sg.				contraction
5	figlio	figlio	noun	m.	sg.				
5	palido	palido	adjective	m.	sg.				
5	e	e	conjunction						
5	anelo	anelo	adjective	m.	sg.				
6	con	con	preposition						
6	la	il	article	f.	sg.				
6	sua	suo	adjective	f.	sg.				
6	voce	voce	noun	f.	sg.				
6	che	che	pronoun		sg.				
6	'l	il	article	m.	sg.				elision
6	suol	solere	verb		sg.	3	present	indicative	apocope
6	ben	bene	adverb						apocope
6	disporre	disporre	verb				infinitive		
7	mi	mi	pronoun		sg.	1			
7	disse	dire	verb		sg.	3	remote past	indicative	
7	Non	non	adverb						
7	sai	sapere	verb		sg.	2	present	indicative	
7	tu	tu	pronoun		sg.	2			
7	che	che	conjunction						
7	tu	tu	pronoun		sg.	2			
7	se'	essere	verb		sg.	2	present	indicative	archaic
7	in	in	preposition						
7	cielo	cielo	noun	m.	sg.				
8	e	e	conjunction						
8	non	non	adverb						
8	sai	sapere	verb		sg.	2	present	indicative	
8	tu	tu	pronoun		sg.	2			
8	che	che	conjunction						
8	'l	il	article	m.	sg.				elision
8	cielo	cielo	noun	m.	sg.				
8	è	essere	verb		sg.	3	present	indicative	
8	tutto	tutto	adjective	m.	sg.				
8	santo	santo	adjective	m.	sg.				
9	e	e	conjunction						
9	ciò	ciò	pronoun		sg.				
9	che	che	pronoun		sg.				relative
9	ci	ci	pronoun		sg.				locative
9	si	si	pronoun		sg.	3			impersonal
9	fa	fare	verb		sg.	3	present	indicative	
9	vien	venire	verb		sg.	3	present	indicative	apocope
9	da	da	preposition						
9	buon	buono	adjective	m.	sg.				apocope
9	zelo	zelo	noun	m.	sg.				
10	Come	come	adverb						
10	t'	tu	pronoun		sg.	2			elision
10	avrebbe	avere	verb		sg.	3	conditional	present	
10	trasmutato	trasmutare	verb	m.	sg.		past participle		
10	il	il	article	m.	sg.				
10	canto	canto	noun	m.	sg.				
11	e	e	conjunction						
11	io	io	pronoun		sg.	1			
11	ridendo	ridere	verb				gerund		
11	mo	mo	adverb						archaic
11	pensar	pensare	verb				infinitive		apocope
11	lo	lo	pronoun	m.	sg.				
11	puoi	potere	verb		sg.	2	present	indicative	
12	poscia	poscia	adverb						archaic
12	che	che	conjunction						
12	'l	il	article	m.	sg.				elision
12	grido	grido	noun	m.	sg.				
12	t'	tu	pronoun		sg.	2			elision
12	ha	avere	verb		sg.	3	present	indicative	
12	mosso	muovere	verb	m.	sg.		past participle		
12	cotanto	cotanto	adverb						archaic
13	nel	in+il	preposition+article	m.	sg.				contraction
13	qual	quale	pronoun	m.	sg.				apocope
13	se	se	conjunction						
13	'nteso	intendere	verb	m.	sg.		past participle		elision
13	avessi	avere	verb		sg.	3	imperfect	subjunctive	
13	i	il	article	m.	pl.				
13	prieghi	preghiera	noun	m.	pl.				archaic
13	suoi	suo	adjective	m.	pl.				
14	già	già	adverb						
14	ti	tu	pronoun		sg.	2			
14	sarebbe	essere	verb		sg.	3	present	conditional	
14	nota	noto	adjective	f.	sg.				
14	la	il	article	f.	sg.				
14	vendetta	vendetta	noun	f.	sg.				
15	che	che	relative pronoun						
15	tu	tu	pronoun		sg.	2			
15	vedrai	vedere	verb		sg.	2	future	indicative	
15	innanzi	innanzi	adverb						
15	che	che	conjunction						
15	tu	tu	pronoun		sg.	2			
15	muoi	morire	verb		sg.	2	present	indicative	archaic
16	La	la	article	f.	sg.				
16	spada	spada	noun	f.	sg.				
16	di	di	preposition						
16	qua	qua	adverb						
16	sù	su	adverb						
16	non	non	adverb						
16	taglia	tagliare	verb		sg.	3	present	indicative	
16	in	in	preposition						
16	fretta	fretta	noun	f.	sg.				
17	né	né	conjunction						
17	tardo	tardo	adjective	m.	sg.				
17	ma'	ma	conjunction						elision
17	ch'	che	conjunction						elision
17	al	a+il	preposition+article	m.	sg.				contraction
17	parer	parere	noun	m.	sg.				apocope
17	di	di	preposition						
17	colui	colui	pronoun	m.	sg.				
18	che	che	pronoun		sg.	3			
18	disïando	disiare	verb				gerund		archaic
18	o	o	conjunction						
18	temendo	temere	verb				gerund		
18	l'	lo	pronoun	m.	sg.				elision
18	aspetta	aspettare	verb		sg.	3	present	indicative	
19	Ma	ma	conjunction						
19	rivolgiti	rivolgere	verb		sg.	2	present	imperative	reflexive
19	omai	omai	adverb						
19	inverso	inverso	preposition						
19	altrui	altrui	pronoun		sg.				
20	ch'	che	conjunction						elision
20	assai	assai	adverb						
20	illustri	illustre	adjective	m.	pl.				
20	spiriti	spirito	noun	m.	pl.				
20	vedrai	vedere	verb		sg.	2	future	indicative	
21	se	se	conjunction						
21	com'	come	adverb						elision
21	io	io	pronoun		sg.	1			
21	dico	dire	verb		sg.	1	present	indicative	
21	l'	il	article	m.	sg.				elision
21	aspetto	aspetto	noun	m.	sg.				
21	redui	reduce	adjective	m.	sg.				archaic
22	Come	come	conjunction						
22	a	a	preposition						
22	lei	lei	pronoun	f.	sg.	3			
22	piacque	piacere	verb		sg.	3	remote past	indicative	
22	li	lo	article	m.	pl.				archaic
22	occhi	occhio	noun	m.	pl.				
