line	word	lemma	pos	gender	number	person	tense	mood	note
1	Deus	Deus	noun	m.	sg.				Latin
1	venerunt	venire	verb		pl.	3	remote past	indicative	Latin
1	gentes	gens	noun	f.	pl.				Latin
1	alternando	alternare	verb				gerund		
2	or	ora	adverb						apocope
2	tre	tre	numeral		sg.				
2	or	ora	adverb						apocope
2	quattro	quattro	numeral		sg.				
2	dolce	dolce	adjective	f.	sg.				
2	salmodia	salmodia	noun	f.	sg.				
3	le	il	article	f.	pl.				
3	donne	donna	noun	f.	pl.				
3	incominciaro	incominciare	verb		pl.	3	remote past	indicative	apocope
3	e	e	conjunction						
3	lagrimando	lagrimare	verb				gerund		
4	e	e	conjunction						
4	Bëatrice	Beatrice	noun	f.	sg.				
4	sospirosa	sospiroso	adjective	f.	sg.				
4	e	e	conjunction						
4	pia	pio	adjective	f.	sg.				
5	quelle	quello	pronoun	f.	pl.				
5	ascoltava	ascoltare	verb		sg.	3	imperfect	indicative	
5	sì	sì	adverb						
5	fatta	fare	adjective	f.	sg.				participle
5	che	che	conjunction						
5	poco	poco	adverb						
6	più	più	adverb						
6	a	a	preposition						
6	la	il	article	f.	sg.				
6	croce	croce	noun	f.	sg.				
6	si	si	pronoun		sg.	3			reflexive
6	cambiò	cambiare	verb		sg.	3	remote past	indicative	
6	Maria	Maria	noun	f.	sg.				
7	Ma	ma	conjunction						
7	poi	poi	adverb						
7	che	che	conjunction						
7	l'	le	article	f.	pl.				elision
7	altre	altro	adjective	f.	pl.				
7	vergini	vergine	noun	f.	pl.				
7	dier	dare	verb		pl.	3	remote past	indicative	apocope
7	loco	luogo	noun	m.	sg.				archaic
8	a	a	preposition						
8	lei	lei	pronoun	f.	sg.	3			
8	di	di	preposition						
8	dir	dire	verb						apocope
8	levata	levarsi	adjective	f.	sg.				past participle
8	dritta	dritto	adjective	f.	sg.				
8	in	in	preposition						
8	pè	piede	noun	m.	sg.				apocope
9	rispuose	rispondere	verb		sg.	3	remote past	indicative	
9	colorata	colorare	adjective	f.	sg.				past participle
9	come	come	conjunction						
9	foco	fuoco	noun	m.	sg.				archaic
10	Modicum	modicum	adverb						Latin
10	et	et	conjunction						Latin
10	non	non	adverb						
10	videbitis	videre	verb		pl.	2	future	indicative	Latin
10	me	me	pronoun		sg.	1			
11	et	et	conjunction						Latin
11	iterum	iterum	adverb						Latin
11	sorelle	sorella	noun	f.	pl.				
11	mie	mio	adjective	f.	pl.				
11	dilette	diletto	adjective	f.	pl.				
12	modicum	modicum	adverb						Latin
12	et	et	conjunction						Latin
12	vos	vos	pronoun		pl.	2			Latin
12	videbitis	videre	verb		pl.	2	future	indicative	Latin
12	me	me	pronoun		sg.	1			
13	Poi	poi	adverb						
13	le	le	pronoun	f.	pl.				
13	si	si	pronoun		sg.	3			reflexive
13	mise	mettere	verb		sg.	3	remote past	indicative	
13	innanzi	innanzi	adverb						
13	tutte	tutto	adjective	f.	pl.				
13	e	e	conjunction						
13	sette	sette	numeral						
14	e	e	conjunction						
14	dopo	dopo	preposition						
14	sé	sé	pronoun		sg.	3			reflexive
14	solo	solo	adverb						
14	accennando	accennare	verb				present	gerund	
14	mosse	muovere	verb		sg.	3	remote past	indicative	
15	me	me	pronoun		sg.	1			
15	e	e	conjunction						
15	la	il	article	f.	sg.				
15	donna	donna	noun	f.	sg.				
15	e	e	conjunction						
15	'l	il	article	m.	sg.				elision
15	savio	savio	noun	m.	sg.				
15	che	che	pronoun		sg.				relative
15	ristette	ristare	verb		sg.	3	remote past	indicative	archaic
16	Così	così	adverb						
16	sen	si+ne	pronoun+pronoun						contraction
16	giva	andare	verb		sg.	3	imperfect	indicative	archaic
16	e	e	conjunction						
16	non	non	adverb						
16	credo	credere	verb		sg.	1	present	indicative	
16	che	che	conjunction						
16	fosse	essere	verb		sg.	3	imperfect	subjunctive	
17	lo	lo	article	m.	sg.				
17	decimo	decimo	adjective	m.	sg.				
17	suo	suo	adjective	m.	sg.				
17	passo	passo	noun	m.	sg.				
17	in	in	preposition						
17	terra	terra	noun	f.	sg.				
17	posto	porre	verb	m.	sg.		past participle		
18	quando	quando	conjunction						
18	con	con	preposition						
18	li	lo	article	m.	pl.				archaic
18	occhi	occhio	noun	m.	pl.				
18	li	lo	article	m.	pl.				archaic
18	occhi	occhio	noun	m.	pl.				
18	mi	mi	pronoun		sg.	1			
18	percosse	percuotere	verb		sg.	3	remote past	indicative	
19	e	e	conjunction						
19	con	con	preposition						
19	tranquillo	tranquillo	adjective	m.	sg.				
19	aspetto	aspetto	noun	m.	sg.				
19	Vien	venire	verb		sg.	3	present	indicative	apocope
19	più	più	adverb						
19	tosto	tosto	adverb						
20	mi	mi	pronoun		sg.	1			
20	disse	dire	verb		sg.	3	remote past	indicative	
20	tanto	tanto	adverb						
20	che	che	conjunction						
20	s'	se	conjunction						elision
20	io	io	pronoun		sg.	1			
20	parlo	parlare	verb		sg.	1	present	indicative	
20	teco	te+co	pronoun		sg.	2			archaic
21	ad	a	preposition						euphonic d
21	ascoltarmi	ascoltare+mi	verb+pronoun					infinitive	contraction
21	tu	tu	pronoun		sg.	2			
21	sie	essere	verb		sg.	2	present	subjunctive	archaic
21	ben	bene	adverb						apocope
21	disposto	disposto	adjective	m.	sg.				
22	Sì	sì	conjunction						
22	com'	come	conjunction						elision
22	io	io	pronoun		sg.	1			
22	fui	essere	verb		sg.	1	remote past	indicative	
22	com'	come	conjunction						elision
22	io	io	pronoun		sg.	1			
22	dovëa	dovere	verb		sg.	1	imperfect	indicative	archaic
22	seco	con+sé	preposition+pronoun		sg.	3			archaic
23	dissemi	dire+mi	verb+pronoun		sg.	3	remote past	indicative	enclitic
23	Frate	frate	noun	m.	sg.				
23	perché	perché	adverb						
23	non	non	adverb						
