line	start	end	head	text
1	2	6	2	tempo che Iunone era crucciata
1	2	2	2	tempo
1	4	4	4	Iunone
2	2	2	2	Semelè
2	4	6	5	'l sangue tebano
2	5	6	5	sangue tebano
2	5	5	5	sangue
3	3	6	6	una e altra fïata
3	5	6	6	altra fïata
3	6	6	6	fïata
4	1	1	1	Atamante
5	3	7	4	la moglie con due figli
5	3	4	4	la moglie
5	6	7	7	due figli
6	4	5	5	ciascuna mano
7	3	4	4	le reti
7	7	7	7	io
8	1	6	2	la leonessa e ' leoncini al varco
8	1	4	2	la leonessa e ' leoncini
8	1	2	2	la leonessa
8	4	6	4	leoncini al varco
8	4	4	4	leoncini
8	6	6	6	varco
9	4	6	6	i dispietati artigli
10	2	3	3	l'un
10	6	7	6	nome Learco
10	7	7	7	Learco
11	6	7	7	un sasso
12	2	2	2	quella
12	6	8	8	l'altro carco
13	3	4	4	la fortuna
13	7	7	7	basso
14	1	7	2	l'altezza de' Troian che tutto ardiva
14	1	4	2	l'altezza de' Troian
14	1	2	2	l'altezza
14	3	4	4	de' Troian
14	4	4	4	Troian
14	6	6	6	tutto
15	4	5	5	col regno
15	5	5	5	regno
15	6	7	7	il re
16	1	5	1	Ecuba trista, misera e cattiva
17	4	5	4	Polissena morta
18	3	8	4	suo Polidoro in su la riva
18	3	4	4	suo Polidoro
18	7	8	8	la riva
19	1	2	2	del mar
19	5	6	6	la dolorosa
20	5	5	5	cane
21	2	3	3	il dolor
21	6	8	7	la mente torta
22	3	5	5	di Tebe furie
22	4	4	4	Tebe
22	7	7	7	troiane
23	5	7	5	alcun tanto crude
23	5	5	5	alcun
24	3	3	3	bestie
24	5	6	5	membra umane
24	5	5	5	membra
25	2	2	2	io
25	5	9	6	due ombre smorte e nude
26	5	6	6	quel modo
27	2	3	3	'l porco
27	6	6	6	porcil
28	1	2	2	L'una
28	5	5	5	Capocchio
28	9	9	9	nodo
29	2	2	2	collo
30	2	2	2	li
30	4	5	5	il ventre
30	7	8	7	fondo sodo
31	2	5	3	l'Aretin che rimase
31	2	3	3	l'Aretin
32	1	1	1	mi
32	3	4	4	Quel folletto
32	6	7	7	Gianni Schicchi
33	4	4	4	altrui
34	3	3	3	io
34	4	4	4	lui
34	6	7	7	l'altro
35	1	2	2	li denti
35	4	4	4	dosso
35	8	8	8	fatica
36	3	3	3	chi
37	2	2	2	elli
37	4	4	4	me
37	5	5	5	Quell'
37	7	9	8	l'anima antica
38	2	3	2	Mirra scellerata
39	2	2	2	padre
39	5	6	6	dritto amore
39	7	7	7	amica
40	1	1	1	Questa
40	5	5	5	esso
41	2	2	2	sé
41	4	5	5	altrui forma
42	2	7	3	l'altro che là sen va
42	2	3	3	l'altro
43	3	7	4	la donna de la torma
43	3	4	4	la donna
43	6	7	7	la torma
44	3	3	3	sé
44	4	5	5	Buoso Donati
45	5	5	5	testamento
45	6	6	6	norma
46	4	6	6	i due rabbiosi
47	3	3	3	io
47	5	6	6	l'occhio
48	4	7	7	li altri mal nati
49	1	1	1	Io
49	3	3	3	un
49	6	8	6	guisa di lëuto
49	8	8	8	lëuto
50	3	3	3	elli
50	6	7	7	l'anguinaia
51	3	4	4	l'altro
51	6	7	7	l'uomo
52	1	3	3	La grave idropesì
53	1	8	2	le membra con l'omor che mal converte
53	4	8	5	l'omor che mal converte
54	2	3	3	'l viso
54	7	8	8	la ventraia
55	2	2	2	lui
55	4	6	5	le labbra aperte
55	4	5	5	le labbra
56	2	3	3	l'etico
56	7	8	8	la sete
57	1	2	2	l'un
57	4	5	5	'l mento
57	7	8	8	l'altro
58	2	7	2	voi che sanz' alcuna pena siete
58	2	2	2	voi
58	5	6	6	alcuna pena
58	6	6	6	pena
59	4	4	4	io
59	7	8	7	mondo gramo
59	7	7	7	mondo
60	2	2	2	elli
60	4	4	4	noi
61	2	6	3	la miseria del maestro Adamo
61	2	3	3	la miseria
61	3	6	3	miseria del maestro Adamo
61	5	6	6	maestro Adamo
62	1	1	1	io
62	4	9	4	assai di quel ch'i' volli
62	6	9	6	quel ch'i' volli
63	4	7	5	un gocciol d'acqua
63	5	7	5	gocciol d'acqua
63	7	7	7	acqua
64	1	7	2	Li ruscelletti che d'i verdi colli
64	1	2	2	Li ruscelletti
64	5	7	7	i verdi colli
65	1	2	2	del Casentin
65	6	6	6	Arno
66	2	7	4	i lor canali freddi e molli
66	2	4	4	i lor canali
67	0	0	0	
68	2	4	3	l'imagine lor
68	3	3	3	imagine
69	2	3	3	'l male
69	3	3	3	male
69	5	5	5	io
69	7	7	7	volto
70	1	6	3	La rigida giustizia che mi fruga
70	1	3	3	La rigida giustizia
71	2	7	2	cagion del loco ov' io peccai
71	4	7	4	loco ov' io peccai
71	6	6	6	io
72	4	6	6	li miei sospiri
72	8	8	8	fuga
73	3	3	3	Romena
73	6	6	6	io
74	1	5	2	la lega suggellata del Batista
74	1	3	2	la lega suggellata
74	4	5	5	del Batista
74	5	5	5	Batista
75	3	3	3	io
75	4	7	5	il corpo sù arso
75	4	5	5	il corpo
76	3	3	3	io
76	6	8	7	l'anima trista
77	2	2	2	Guido
77	5	5	5	Alessandro
77	8	9	9	lor frate
78	2	3	2	Fonte Branda
78	6	7	7	la vista
79	4	5	5	l'una
79	8	9	9	l'arrabbiate
80	1	4	1	ombre che vanno intorno
80	1	1	1	ombre
80	6	6	6	vero
81	7	9	8	le membra legate
81	7	8	8	le membra
82	2	2	2	io
82	6	6	6	tanto
83	2	2	2	i'
83	5	6	6	cent' anni
83	8	9	9	un'oncia
84	1	1	1	io
84	6	7	7	lo sentiero
85	2	2	2	lui
85	4	6	5	questa gente sconcia
85	5	6	5	gente sconcia
86	2	2	2	tutto
86	4	4	4	ella
86	6	7	7	undici miglia
87	4	7	5	un mezzo di traverso
87	4	5	5	un mezzo
87	5	7	5	mezzo di traverso
87	7	7	7	traverso
87	9	9	9	ci
88	1	1	1	Io
88	4	4	4	lor
88	6	8	8	sì fatta famiglia
89	1	1	1	e'
89	6	7	7	li fiorini
90	3	6	4	tre carati di mondiglia
90	4	6	4	carati di mondiglia
90	6	6	6	mondiglia
91	2	2	2	io
91	4	4	4	lui
91	7	9	9	li due tapini
92	4	7	4	man bagnate 'l verno
92	4	5	4	man bagnate
92	6	7	7	'l verno
93	4	6	6	tuoi destri confini
94	2	2	2	li
94	6	6	6	volta
95	5	6	6	questo greppo
95	6	6	6	greppo
96	7	7	7	sempiterno
97	1	2	2	L'una
97	4	5	5	la falsa
97	8	8	8	Gioseppo
98	1	2	2	l'altr'
98	4	9	6	'l falso Sinon greco di Troia
98	5	9	6	falso Sinon greco di Troia
98	6	9	6	Sinon greco di Troia
98	9	9	9	Troia
99	2	3	2	febbre aguta
99	5	6	6	tanto leppo
100	2	5	3	l'un di lor
100	2	3	3	l'un
100	5	5	5	lor
100	10	10	10	noia
101	0	0	0	
102	1	2	2	col pugno
102	2	2	2	pugno
102	3	3	3	li
102	5	7	6	l'epa croia
102	6	7	6	epa croia
103	1	1	1	Quella
103	5	6	6	un tamburo
104	2	3	3	mastro Adamo
104	4	4	4	li
104	6	7	7	il volto
105	1	3	2	col braccio suo
105	2	3	2	braccio suo
105	4	4	4	che
106	3	3	3	lui
107	1	8	2	lo muover per le membra che son gravi
107	1	2	2	lo muover
107	4	8	5	le membra che son gravi
107	4	5	5	le membra
108	2	2	2	io
108	3	8	4	il braccio a tal mestiere sciolto
108	3	4	4	il braccio
108	6	7	7	tal mestiere
109	2	2	2	ei
109	5	5	5	tu
110	2	2	2	fuoco
110	4	4	4	l'
