line	start	end	head	text
1	2	6	3	il settentrïon del primo cielo
1	2	3	3	il settentrïon
1	3	6	3	settentrïon del primo cielo
1	5	6	6	primo cielo
2	3	3	3	occaso
2	7	7	7	orto
3	3	4	4	altra nebbia
3	6	8	8	di colpa velo
3	7	7	7	colpa
4	5	6	5	ciascun accorto
5	2	3	3	suo dover
5	3	3	3	dover
5	5	7	7	'l più basso
5	7	7	7	basso
6	1	2	2	qual temon
6	2	2	2	temon
6	7	7	7	porto
7	4	6	5	la gente verace
7	4	5	5	la gente
7	5	6	5	gente verace
7	5	5	5	gente
8	4	7	5	'l grifone ed esso
8	4	5	5	'l grifone
8	5	5	5	grifone
8	7	7	7	esso
9	2	2	2	carro
9	4	4	4	sé
9	7	8	8	sua pace
9	8	8	8	pace
10	2	4	2	un di loro
10	4	4	4	loro
10	7	7	7	ciel
11	2	2	2	sponsa
11	4	4	4	Libano
12	2	3	3	tre volte
12	5	7	7	tutti li altri
12	6	7	7	li altri
13	2	3	3	i beati
13	5	6	6	novissimo bando
14	3	6	3	ognun di sua caverna
14	5	6	6	sua caverna
15	1	3	3	la revestita voce
16	1	1	1	cotali
16	4	6	6	la divina basterna
16	5	6	6	divina basterna
16	6	6	6	basterna
17	3	3	3	cento
17	5	7	5	vocem tanti senis
17	5	5	5	vocem
17	6	7	7	tanti senis
17	7	7	7	senis
18	1	6	1	ministri e messaggier di vita etterna
18	1	3	1	ministri e messaggier
18	1	1	1	ministri
18	3	6	3	messaggier di vita etterna
18	3	3	3	messaggier
18	5	6	5	vita etterna
18	5	5	5	vita
19	1	1	1	Tutti
19	3	5	3	Benedictus qui venis
19	3	3	3	Benedictus
20	2	2	2	fior
21	1	1	1	Manibus
21	4	5	4	lilïa plenis
21	4	4	4	lilïa
22	1	1	1	Io
22	5	7	5	cominciar del giorno
22	7	7	7	giorno
23	1	5	2	la parte orïental tutta rosata
23	1	3	2	la parte orïental
23	1	2	2	la parte
23	2	3	2	parte orïental
24	2	8	4	l'altro ciel di bel sereno addorno
24	2	4	4	l'altro ciel
24	3	4	4	altro ciel
24	4	7	4	ciel di bel sereno
24	6	7	7	bel sereno
24	7	7	7	sereno
25	2	7	3	la faccia del sol nascere ombrata
25	2	3	3	la faccia
25	5	6	5	sol nascere
25	5	5	5	sol
26	4	6	4	temperanza di vapori
26	4	4	4	temperanza
26	6	6	6	vapori
27	1	2	2	l'occhio
27	2	2	2	occhio
27	3	3	3	la
27	5	6	6	lunga fïata
27	6	6	6	fïata
28	3	6	4	una nuvola di fiori
28	6	6	6	fiori
29	3	5	4	le mani angeliche
30	4	4	4	giù
30	8	8	8	fori
31	2	6	3	candido vel cinta d'uliva
31	2	3	3	candido vel
31	3	3	3	vel
31	6	6	6	uliva
32	1	1	1	donna
32	5	6	6	verde manto
32	6	6	6	manto
33	3	6	3	color di fiamma viva
33	3	3	3	color
33	5	6	5	fiamma viva
33	5	5	5	fiamma
34	2	4	3	lo spirito mio
34	3	4	3	spirito mio
34	3	3	3	spirito
35	1	1	1	tempo
35	6	8	8	la sua presenza
35	7	8	8	sua presenza
35	8	8	8	presenza
36	4	4	4	stupor
37	3	4	4	li occhi
37	6	7	7	più conoscenza
38	2	7	3	occulta virtù che da lei mosse
38	2	3	3	occulta virtù
38	6	6	6	lei
39	2	3	3	antico amor
39	5	7	7	la gran potenza
40	4	5	5	la vista
41	1	8	3	l'alta virtù che già m'avea trafitto
41	1	3	3	l'alta virtù
42	3	3	3	io
42	6	6	6	püerizia
43	3	4	4	la sinistra
43	5	6	6	col respitto
44	1	2	2	col quale
44	3	4	4	il fantolin
44	7	8	8	la mamma
45	3	3	3	paura
45	6	6	6	elli
46	4	4	4	Virgilio
46	5	7	7	Men che dramma
46	7	7	7	dramma
47	2	2	2	sangue
48	2	7	3	i segni de l'antica fiamma
48	2	3	3	i segni
48	5	7	7	l'antica fiamma
48	7	7	7	fiamma
49	2	2	2	Virgilio
49	3	3	3	n'
50	2	2	2	sé
50	3	5	5	Virgilio dolcissimo patre
50	3	3	3	Virgilio
50	4	5	5	dolcissimo patre
51	1	1	1	Virgilio
51	3	3	3	cui
51	5	6	6	mia salute
51	6	6	6	salute
51	8	8	8	mi
52	4	6	6	l'antica matre
52	5	6	6	antica matre
52	6	6	6	matre
53	3	7	4	le guance nette di rugiada
53	3	5	4	le guance nette
53	3	4	4	le guance
53	4	7	4	guance nette di rugiada
53	4	5	4	guance nette
53	4	4	4	guance
53	7	7	7	rugiada
54	5	5	5	atre
55	1	1	1	Dante
55	3	3	3	Virgilio
56	0	0	0	
57	2	2	2	pianger
57	6	7	7	altra spada
58	2	2	2	ammiraglio
58	5	5	5	poppa
58	8	8	8	prora
59	4	7	5	la gente che ministra
59	4	5	5	la gente
59	5	5	5	gente
60	2	4	4	li altri legni
60	4	4	4	legni
60	9	10	10	l'incora
60	10	10	10	incora
61	3	7	4	la sponda del carro sinistra
61	6	6	6	carro
62	5	8	5	suon del nome mio
62	7	8	7	nome mio
63	3	3	3	necessità
64	2	7	3	la donna che pria m'appario
64	2	3	3	la donna
65	3	5	5	l'angelica festa
66	2	3	3	li occhi
66	5	5	5	me
66	8	9	9	dal rio
67	3	9	4	'l vel che le scendea di testa
67	3	4	4	'l vel
67	6	6	6	le
67	9	9	9	testa
68	3	6	4	le fronde di Minerva
68	3	4	4	le fronde
68	6	6	6	Minerva
69	2	2	2	la
70	3	4	4	l'atto
71	3	5	3	colui che dice
71	3	3	3	colui
72	2	5	5	'l più caldo parlar
73	7	7	7	Beatrice
74	5	6	6	al monte
74	6	6	6	monte
75	3	3	3	tu
75	7	9	8	l'uom felice
75	8	9	8	uom felice
75	8	8	8	uom
76	1	2	2	Li occhi
76	7	8	8	chiaro fonte
77	4	4	4	esso
77	5	5	5	i
77	8	9	9	l'erba
78	1	2	2	tanta vergogna
78	5	6	6	la fronte
79	2	3	3	la madre
79	5	5	5	figlio
80	2	2	2	ella
80	5	5	5	me
80	8	8	8	amaro
81	2	7	3	il sapor de la pietade acerba
81	2	3	3	il sapor
81	5	7	6	la pietade acerba
81	6	7	6	pietade acerba
82	1	1	1	Ella
82	5	6	6	li angeli
83	4	4	4	te
83	5	5	5	Domine
84	3	4	3	pedes meos
84	3	3	3	pedes
85	3	7	3	neve tra le vive travi
85	3	3	3	neve
85	5	7	7	le vive travi
85	6	7	7	vive travi
85	7	7	7	travi
86	2	5	3	lo dosso d'Italia
86	2	3	3	lo dosso
86	3	5	3	dosso d'Italia
86	3	3	3	dosso
86	5	5	5	Italia
87	5	7	6	li venti schiavi
87	6	7	6	venti schiavi
87	6	6	6	venti
88	4	5	4	sé stessa
89	3	7	4	la terra che perde ombra
89	3	4	4	la terra
89	7	7	7	ombra
90	4	4	4	foco
90	6	7	7	la candela
91	4	6	4	lagrime e sospiri
91	4	4	4	lagrime
91	6	6	6	sospiri
92	2	8	3	'l cantar di quei che notan sempre
92	2	3	3	'l cantar
92	3	8	3	cantar di quei che notan sempre
92	5	8	5	quei che notan sempre
93	3	8	4	le note de li etterni giri
93	3	4	4	le note
93	4	8	4	note de li etterni giri
93	6	8	8	li etterni giri
94	6	8	8	le dolci tempre
94	8	8	8	tempre
95	1	4	2	lor compatire a me
95	1	2	2	lor compatire
95	2	4	2	compatire a me
95	2	2	2	compatire
95	4	4	4	me
96	2	2	2	Donna
96	5	5	5	lo
97	1	9	2	lo gel che m'era intorno al cor ristretto
97	1	2	2	lo gel
97	7	9	8	al cor ristretto
97	8	9	8	cor ristretto
97	8	8	8	cor
98	1	4	1	spirito e acqua fessi
98	1	1	1	spirito
98	3	4	3	acqua fessi
98	3	3	3	acqua
98	7	7	7	angoscia
99	2	3	3	la bocca
99	6	7	7	li occhi
99	10	10	10	petto
100	1	1	1	Ella
100	6	8	8	la detta coscia
101	2	2	2	carro
101	5	7	6	le sustanze pie
102	2	4	4	le sue parole
103	1	1	1	Voi
103	4	6	6	l'etterno die
104	3	3	3	notte
104	5	5	5	sonno
104	7	7	7	voi
105	1	8	1	passo che faccia il secol per sue vie
105	1	1	1	passo
105	4	5	5	il secol
105	7	8	8	sue vie
106	2	4	4	la mia risposta
106	7	8	8	più cura
107	4	8	4	colui che di là piagne
107	4	4	4	colui
108	3	8	3	colpa e duol d'una misura
108	3	3	3	colpa
108	5	8	5	duol d'una misura
108	5	5	5	duol
108	7	8	8	una misura
109	4	8	4	ovra de le rote magne
109	6	8	7	le rote magne
110	3	4	4	ciascun seme
110	6	7	7	alcun fine
111	3	4	4	le stelle
111	6	6	6	compagne
112	3	6	3	larghezza di grazie divine
112	5	6	5	grazie divine
113	2	4	4	sì alti vapori
113	7	8	8	lor piova
114	2	3	3	nostre viste
115	1	1	1	questi
115	5	8	7	la sua vita nova
115	6	8	7	sua vita nova
115	7	8	7	vita nova
116	3	5	4	ogne abito destro
116	4	5	4	abito destro
117	4	4	4	lui
117	5	6	6	mirabil prova
118	0	0	0	
119	3	7	4	'l terren col mal seme
119	3	4	4	'l terren
119	6	7	7	mal seme
120	2	2	2	elli
120	6	8	7	buon vigor terrestro
120	7	8	7	vigor terrestro
121	1	2	2	Alcun tempo
121	3	3	3	il
121	6	7	7	mio volto
122	2	4	3	li occhi giovanetti
122	3	4	3	occhi giovanetti
122	6	6	6	lui
123	1	1	1	meco
123	2	2	2	il
123	5	6	6	dritta parte
124	6	7	7	la soglia
125	2	4	4	mia seconda etade
125	7	7	7	vita
126	1	1	1	questi
126	5	5	5	me
126	8	8	8	altrui
127	3	3	3	carne
127	5	5	5	spirto
128	2	2	2	bellezza
128	4	5	4	virtù cresciuta
128	4	4	4	virtù
129	2	2	2	io
129	4	4	4	lui
130	3	5	4	i passi suoi
130	4	5	4	passi suoi
130	7	9	7	via non vera
131	1	5	1	imagini di ben seguendo false
131	1	3	1	imagini di ben
131	3	3	3	ben
132	2	3	3	nulla promession
133	2	4	3	l'impetrare ispirazion
133	2	3	3	l'impetrare
133	4	4	4	ispirazion
134	2	3	3	le quali
134	6	6	6	sogno
