'nferno	i:1:110	i:6:40	i:6:84	i:16:33	i:25:13	i:26:3	i:28:50	pu:22:14	pa:20:106
Abbagliato	i:29:132
Abido	pu:28:74
Abraàm	i:4:58
Absalone	i:28:137
Abèl	i:4:56
Acheronte	i:3:78	i:14:116	pu:2:105
Achille	i:5:65	i:12:71	i:26:62	i:31:5	pu:9:34	pu:21:92
Achitofèl	i:28:137
Acone	pa:16:65
Acquacheta	i:16:97
Acquasparta	pa:12:124
Acri	i:27:89
Acàn	pu:20:109
Adamo	i:3:115	i:30:61	i:30:104	pu:9:10	pu:11:44	pu:29:86	pu:32:37
Adice	i:12:5	pu:16:115	pa:9:44
Aegypto	pu:2:46
Affricano	pu:29:116
Agapito	pa:6:16
Agatone	pu:22:107
Aglauro	pu:14:139
Agnel	i:25:68
Agnus Dei	pu:16:19
Agobbio	pu:11:80
Aguglion	pa:16:56
Agusta	pa:32:119
Alagia	pu:19:142
Alagna	pu:20:86	pa:30:148
Alardo	i:28:18
Alba	pa:6:37
Alberichi	pa:16:89
Alberigo	i:33:118
Albero	i:29:109
Alberto	i:32:57	pu:6:97	pa:10:98	pa:19:115
Albia	pu:7:99
Alcide	pa:9:101
Alessandria	pu:7:135
Alessandro	i:12:107	i:14:31	i:30:77
Alessio Interminei	i:18:122
Aletto	i:9:47
Alichin	i:22:112
Alichino	i:21:118
Almeon	pu:12:50
Almeone	pa:4:103
Alpe	i:16:101	i:20:62
Altaforte	i:29:29
Alì	i:28:32
Amiclate	pa:11:68
Amor	i:5:100	i:5:103	i:5:106	pu:24:53	pu:31:117	pa:28:12
Amor che ne la mente mi ragiona	pu:2:112
Anania	pa:26:12
Anassagora	i:4:137
Anastagi	pu:14:107
Anastasio	i:11:8
Anchise	i:1:74	pu:18:137	pa:15:25	pa:19:132
Anfïarao	i:20:34
Anfïone	i:32:11
Angelici	pa:28:126
Angiolello	i:28:77
Anibale	pa:6:50
Anibàl	i:31:117
Anna	pa:32:133
Anselmo	pa:12:137
Anselmuccio	i:33:50
Antandro	pa:6:67
Antenora	i:32:88
Antenori	pu:5:75
Anteo	i:31:100	i:31:113
Antifonte	pu:22:106
Antigone	pu:22:110
Antëo	i:31:139
Apennino	i:16:96	pu:5:96
Appollo	pa:1:13	pa:2:8
Aquario	i:24:2
Aquilone	pu:4:60	pu:32:99
Aragne	i:17:18	pu:12:43
Aragona	pu:3:116
Arbia	i:10:86
Arca	pa:16:92
Arcangeli	pa:28:125
Archian	pu:5:125
Archiano	pu:5:95
Ardinghi	pa:16:93
Aretin	pu:6:13
Aretini	i:22:5
Aretusa	i:25:97
Arezzo	i:29:109
Argia	pu:22:110
Argo	pu:29:95	pa:33:96
Aristotile	pu:3:43
Arli	i:9:112
Arnaut	pu:26:142
Arno	i:13:146	i:15:113	i:23:95	i:30:65	i:33:83	pu:5:126	pu:14:24	pa:11:106
Aronta	i:20:46
Arpie	i:13:10	i:13:101
Arrigo	i:6:80	pa:17:82	pa:30:137
Arrigo Mainardi	pu:14:97
Arrigo d'Inghilterra	pu:7:131
Arrigucci	pa:16:108
Arrio	pa:13:127
Artù	i:32:62
Aràbi	pa:6:49
Arïete	pa:28:117
Ascesi	pa:11:53
Asdente	i:20:118
Asopo	pu:18:91
Asperges me	pu:31:98
Assiri	pu:12:59
Assüero	pu:17:28
Atamante	i:30:4
Atene	i:12:17	pu:6:139	pa:17:46
Atropòs	i:33:126
Attila	i:12:134	i:13:149
Augustin	pa:10:120	pa:12:130
Augustino	pa:32:35
Augusto	i:1:71	i:13:68	pu:29:116
Aulide	i:20:111
Aurora	pu:2:8
Ausonia	pa:8:61
Austro	pu:32:99
Aventino	i:25:26
Averoìs	i:4:144
Avicenna	i:4:143
Azzolino	i:12:110
Babillòn	pa:23:135
Bacchiglione	i:15:113
Bacco	pu:18:93	pa:13:25
Baco	i:20:59
Bagnacaval	pu:14:115
Bagnoregio	pa:12:128
Barbagia	pu:23:94	pu:23:96
Barbariccia	i:21:120	i:22:29	i:22:59	i:22:145
Barbarossa	pu:18:119
Bari	pa:8:62
Barucci	pa:16:104
Batista	i:13:143	i:30:74	pu:22:152	pa:16:47
Batisteo	pa:15:134
Beatrice	i:2:70	i:2:103	pu:6:46	pu:7:128	pu:15:77	pu:18:48	pu:18:73	pu:23:128	pu:27:53	pu:30:73	pu:31:80	pu:31:107	pu:31:114	pu:31:133	pu:32:85	pu:32:106	pa:1:46	pa:1:64	pa:2:22	pa:3:127	pa:4:13	pa:4:139	pa:5:16	pa:5:85	pa:5:122	pa:7:16	pa:14:8	pa:15:70	pa:16:13	pa:17:5	pa:17:30	pa:18:53	pa:23:76	pa:24:10	pa:24:22	pa:24:55	pa:25:137	pa:26:77	pa:27:34	pa:31:59	pa:31:66	pa:31:76	pa:33:38
Beccheria	i:32:119
Beda	pa:10:131
Belacqua	pu:4:123
Belisar	pa:6:25
Bellincion Berti	pa:15:112
Bellincione	pa:16:99
Belo	pa:9:97
Belzebù	i:34:127
Benaco	i:20:63	i:20:74	i:20:77
Benedetto	pa:32:35
Benevento	pu:3:128
Bergamaschi	i:20:71
Bernardin di Fosco	pu:14:101
Bernardo	pa:11:79	pa:31:102	pa:31:139	pa:33:49
Berta	pa:13:139
Bertram dal Bornio	i:28:134
Bianco	i:24:150
Bilance	pu:2:5
Bindi	pa:29:103
Bisenzo	i:32:56
Bismantova	pu:4:26
Bocca	i:32:106
Boemme	pa:19:125
Bologna	i:23:142	pu:14:100
Bolsena	pu:24:24
Bonagiunta	pu:24:19
Bonagiunta da Lucca	pu:24:20
Bonaventura	pa:12:127
Bonconte	pu:5:88
Bonifazio	i:19:53	pu:24:29
Bonturo	i:21:41
Borea	pa:28:81
Borgo	pa:16:134
