line	token	word	role	arg_line	arg_token
1	4	va	subj	0	0
1	4	va	obl:per	1	2
1	4	va	obl:in	1	7
2	4	va	subj	0	0
2	4	va	obl:per	2	2
2	4	va	obl:in	2	8
3	4	va	subj	0	0
3	4	va	obl:per	3	2
3	4	va	obl:tra	3	8
4	2	mosse	subj	4	1
4	2	mosse	obj	4	6
5	1	fecemi	subj	5	4
5	1	fecemi	subj	6	3
5	1	fecemi	subj	6	7
6	0			0	0
7	5	fuor	subj	7	6
7	5	fuor	subj	8	3
7	5	fuor	obl:a	7	3
8	7	duro	subj	8	5
8	7	duro	attr	8	6
9	1	Lasciate	subj	9	4
9	1	Lasciate	obj	9	3
9	6	intrate	subj	9	5
10	0			0	0
11	1	vid'	subj	11	2
11	1	vid'	obj	10	2
11	1	vid'	xcomp	11	3
11	1	vid'	obl:a	11	5
11	3	scritte	subj	10	2
12	3	io	subj	0	0
12	3	io	ccomp	12	10
12	10	duro	subj	12	6
12	10	duro	iobj	12	8
13	0			0	0
14	3	convien	subj	14	4
14	4	lasciare	subj	0	0
14	4	lasciare	obj	14	6
15	3	convien	subj	15	7
15	7	morta	subj	15	2
16	3	venuti	subj	16	1
16	3	venuti	obl:a	16	5
16	10	detto	subj	16	7
16	10	detto	iobj	16	8
16	10	detto	ccomp	17	3
16	10	detto	obl	16	6
17	3	vedrai	subj	17	2
17	3	vedrai	obj	17	5
18	3	perduto	subj	18	1
18	3	perduto	obj	18	5
19	10	puose	subj	0	0
19	10	puose	obj	19	6
19	10	puose	obl:a	19	9
20	7	confortai	subj	20	5
20	7	confortai	obl:con	20	3
20	7	confortai	obl	20	4
21	2	mise	subj	0	0
21	2	mise	obl:a	21	7
22	0			0	0
23	1	risonavan	subj	22	2
23	1	risonavan	obl:per	23	4
24	7	lagrimai	subj	24	3
24	7	lagrimai	obl:a	24	5
24	7	lagrimai	obl:di	24	6
25	0			0	0
26	0			0	0
27	0			0	0
28	1	facevano	subj	25	2
28	1	facevano	subj	25	4
28	1	facevano	subj	26	1
28	1	facevano	subj	26	4
28	1	facevano	subj	27	1
28	1	facevano	subj	27	6
28	1	facevano	obj	28	3
28	7	aggira	subj	28	5
28	7	aggira	obl:in	29	4
29	0			0	0
30	1	come	subj	30	3
30	6	spira	subj	30	5
31	4	avea	subj	31	3
31	4	avea	obj	31	8
31	9	cinta	subj	31	8
31	9	cinta	obl:di	31	6
32	1	dissi	subj	0	0
32	4	è	subj	32	5
32	4	è	attr	32	3
32	8	odo	subj	32	7
32	8	odo	obj	32	6
33	4	è	subj	33	3
33	6	par	subj	33	5
33	6	par	attr	33	10
33	6	par	obl:in	33	8
33	10	vinta	subj	33	5
33	10	vinta	obl:in	33	8
34	0			0	0
35	1	tegnon	subj	35	3
35	1	tegnon	obj	34	7
36	2	visser	subj	36	1
36	2	visser	obl:sanza	36	4
36	2	visser	obl:sanza	36	7
37	1	Mischiate	subj	0	0
37	1	Mischiate	obl:a	37	6
37	2	sono	subj	0	0
37	2	sono	attr	37	1
38	6	furon	subj	38	4
38	6	furon	attr	38	7
38	7	ribelli	subj	38	4
39	2	fur	subj	38	4
39	2	fur	attr	39	3
39	3	fedeli	subj	38	4
39	3	fedeli	obl:a	39	5
39	9	fuoro	subj	38	4
39	9	fuoro	obl:per	39	8
40	1	Caccianli	subj	40	3
40	1	Caccianli	obl:per	40	8
40	8	belli	subj	0	0
41	6	riceve	subj	41	4
41	6	riceve	obj	41	5
42	6	avrebber	subj	42	5
42	6	avrebber	obj	42	3
42	6	avrebber	obl:di	42	8
43	7	greve	subj	43	4
43	7	greve	obl:a	44	2
44	4	lamentar	subj	44	5
44	6	fa	subj	44	3
44	6	fa	obj	44	5
44	6	fa	xcomp	44	4
45	1	Rispuose	subj	0	0
45	1	Rispuose	ccomp	45	2
45	2	Dicerolti	subj	0	0
45	2	Dicerolti	obj	45	4
46	3	hanno	subj	46	1
46	3	hanno	obj	46	4
47	8	bassa	subj	47	5
48	2	'nvidïosi	subj	0	0
48	2	'nvidïosi	obl:di	48	7
49	6	esser	subj	49	1
49	8	lassa	subj	49	1
49	8	lassa	obj	49	5
50	5	sdegna	subj	50	1
50	5	sdegna	obj	50	4
51	2	ragioniam	subj	0	0
51	2	ragioniam	obl:di	51	4
51	6	guarda	subj	0	0
51	8	passa	subj	0	0
52	4	riguardai	subj	52	3
52	5	vidi	subj	52	2
52	5	vidi	obj	52	7
53	2	girando	subj	53	1
53	3	correva	subj	53	1
53	3	correva	attr	53	5
54	6	parea	subj	53	1
54	6	parea	iobj	54	5
54	6	parea	attr	54	7
54	6	parea	obl:di	54	4
54	7	indegna	subj	53	1
