line	token	word	role	arg_line	arg_token
1	0			0	0
2	1	movesi	subj	2	3
2	1	movesi	obl:da	1	2
2	1	movesi	obl:a	1	4
2	1	movesi	obl:da	1	8
2	1	movesi	obl:a	1	10
2	1	movesi	obl:in	2	7
3	4	percosso	subj	0	0
3	4	percosso	obl	3	5
3	4	percosso	obl	3	7
4	5	fé	subj	5	1
4	5	fé	obj	4	7
4	5	fé	obl:in	4	4
4	5	fé	obl:per	7	3
5	4	dico	subj	5	3
5	4	dico	obj	5	2
5	8	tacque	subj	6	3
6	0			0	0
7	5	nacque	subj	7	4
7	5	nacque	obl:di	8	3
7	5	nacque	obl:di	8	6
8	0			0	0
9	7	piacque	subj	9	4
9	7	piacque	iobj	9	2
9	7	piacque	obl:dopo	9	6
10	3	fa	subj	12	5
10	3	fa	obj	10	4
10	3	fa	iobj	10	2
10	8	dice	subj	0	0
10	8	dice	obj	10	6
10	8	dice	obl	10	7
10	8	dice	obl:con	11	4
11	6	pensando	subj	0	0
12	5	andare	subj	0	0
12	5	andare	obl:a	12	8
13	1	Diteli	subj	0	0
13	1	Diteli	ccomp	14	3
13	7	infiora	subj	14	2
13	7	infiora	obj	13	6
13	7	infiora	obl:per	13	5
14	3	rimarrà	subj	13	4
14	3	rimarrà	obl:con	14	5
15	5	è	subj	15	4
16	3	rimane	subj	0	0
16	4	dite	subj	0	0
16	4	dite	ccomp	16	5
16	5	come		0	0
17	3	visibili	subj	0	0
17	4	rifatti	subj	0	0
18	1	esser	subj	18	3
18	2	porà	subj	0	0
18	2	porà	xcomp	18	1
18	8	nòi	subj	0	0
18	8	nòi	obj	18	7
18	8	nòi	obl:a	18	5
19	5	pinti	subj	0	0
19	5	pinti	obl:da	19	4
19	7	tratti	subj	0	0
19	7	tratti	obl:da	19	4
20	6	vanno	subj	20	5
20	6	vanno	obl:a	20	8
21	1	levan	subj	20	4
21	1	levan	obj	21	3
21	1	levan	obl:a	20	3
21	5	rallegrano	subj	20	4
21	5	rallegrano	obj	21	7
21	5	rallegrano	obl:a	20	3
22	0			0	0
23	3	cerchi	subj	23	2
23	3	cerchi	xcomp	23	4
23	3	cerchi	obl:a	22	4
23	4	mostrar	subj	23	2
23	4	mostrar	obj	23	6
23	4	mostrar	obl:in	24	2
23	4	mostrar	obl:in	24	6
24	0			0	0
25	3	lamenta	subj	25	1
25	7	moia	subj	0	0
26	2	viver	subj	0	0
26	6	vide	subj	25	1
26	6	vide	obj	27	2
27	0			0	0
28	9	vive	subj	28	7
29	2	regna	subj	28	7
29	2	regna	obl:in	29	5
30	2	circunscritto	subj	28	2
30	5	circunscrive	subj	28	7
30	5	circunscrive	obj	30	4
31	4	cantato	subj	28	2
31	4	cantato	obl	31	2
31	4	cantato	obl:da	31	6
31	4	cantato	obl:con	32	6
32	0			0	0
33	5	saria	subj	33	7
33	5	saria	attr	33	6
33	5	saria	obl:a	33	4
33	6	giusto	subj	33	7
33	6	giusto	obl:a	33	4
34	1	E		0	0
34	3	udi'	subj	34	2
34	3	udi'	obj	35	5
34	3	udi'	xcomp	37	1
34	3	udi'	obl:in	34	6
35	0			0	0
36	3	fu	subj	36	2
36	3	fu	obl:da	36	6
36	3	fu	obl:a	36	8
37	1	risponder	subj	35	5
37	4	lunga	subj	37	6
38	0			0	0
39	2	raggerà	subj	38	6
39	2	raggerà	obl	39	5
40	4	séguita	subj	40	3
40	4	séguita	obj	40	6
41	8	tanta	subj	41	6
42	2	ha	subj	0	0
42	2	ha	obl:di	42	4
42	2	ha	obl:sovra	42	7
43	0			0	0
44	2	rivestita	subj	43	3
45	2	grata	subj	44	5
45	5	esser	subj	0	0
45	5	esser	attr	45	7
45	7	quanta	subj	44	5
46	4	accrescerà	subj	46	5
46	8	dona	subj	47	6
46	8	dona	obj	46	6
46	8	dona	obl:ne	46	7
46	8	dona	obl:di	47	3
47	0			0	0
48	5	veder	subj	0	0
48	5	veder	obj	48	4
48	7	condiziona	subj	48	2
48	7	condiziona	obj	48	6
48	7	condiziona	xcomp	48	5
49	4	crescer	subj	49	3
49	5	convene	subj	49	4
50	1	crescer	subj	50	3
50	8	accende	subj	50	4
50	8	accende	obl:di	50	6
51	1	crescer	subj	51	3
51	7	vene	subj	51	4
51	7	vene	obl:da	51	6
52	7	rende	subj	52	5
52	7	rende	obj	52	6
53	6	soverchia	subj	53	5
53	6	soverchia	obl:per	53	4
54	7	difende	subj	54	5
54	7	difende	obj	54	6
55	7	cerchia	subj	55	4
55	7	cerchia	obj	55	6
56	2	vinto	subj	55	3
56	2	vinto	obl:in	56	4
56	2	vinto	obl:da	56	7
57	6	ricoperchia	subj	57	1
57	6	ricoperchia	obj	57	5
57	6	ricoperchia	obl	57	3
58	2	potrà	subj	58	4
58	2	potrà	xcomp	58	5
58	5	affaticarne	subj	58	4
59	7	forti	subj	59	3
59	7	forti	obl:a	60	3
60	5	potrà	subj	60	4
60	5	potrà	xcomp	60	6
60	6	dilettarne	subj	60	4
61	3	parver	subj	62	7
61	3	parver	iobj	61	2
61	4	sùbiti	subj	62	7
61	4	sùbiti	iobj	61	2
61	6	accorti	subj	62	7
61	6	accorti	iobj	61	2
62	9	dicer	subj	62	7
62	9	dicer	obj	62	10
63	3	mostrar	subj	0	0
63	3	mostrar	obj	63	4
63	3	mostrar	obl:per	64	5
63	3	mostrar	obl:per	64	9
63	3	mostrar	obl:per	65	3
63	3	mostrar	obl:per	65	7
64	0			0	0
65	9	fuor	subj	65	8
65	9	fuor	attr	65	10
65	10	cari	subj	65	8
66	3	fosser	subj	0	0
66	3	fosser	attr	66	5
66	5	fiamme	subj	0	0
67	0			0	0
68	1	nascere	subj	68	3
68	1	nascere	obl	67	3
68	1	nascere	obl:sopra	68	5
68	1	nascere	obl:per	69	2
68	8	era	subj	68	6
68	8	era	obl	68	7
69	6	rischiari	subj	69	5
70	0			0	0
71	1	comincian	subj	71	6
71	1	comincian	obl:a	70	5
71	1	comincian	obl:per	71	4
72	5	pare	subj	72	4
72	8	par	subj	72	4
72	8	par	attr	72	9
72	9	vera	subj	72	4
73	1	parvemi	subj	74	1
74	1	cominciare	subj	0	0
74	1	cominciare	xcomp	74	3
74	3	vedere	subj	0	0
74	3	vedere	obj	73	4
74	5	fare	subj	0	0
74	5	fare	obj	74	7
74	5	fare	obl:da	75	7
75	2	fuor		0	0
76	3	sfavillar	subj	0	0
77	3	fece	subj	77	2
77	3	fece	attr	77	6
77	3	fece	obl:a	78	3
77	6	candente	subj	77	2
78	6	vinti	subj	78	5
78	8	soffriro	subj	78	5
78	8	soffriro	obj	78	7
79	4	bella	subj	79	2
79	6	ridente	subj	79	2
80	3	mostrò	subj	79	2
80	3	mostrò	iobj	80	1
81	2	vuol	subj	0	0
81	2	vuol	xcomp	81	3
81	3	lasciar	subj	0	0
81	3	lasciar	ccomp	81	6
81	3	lasciar	obl:tra	80	7
81	6	seguir	subj	81	8
82	2	ripreser	subj	82	4
82	2	ripreser	obj	82	6
82	2	ripreser	xcomp	83	2
83	2	rilevarsi	subj	82	4
83	4	vidimi	subj	0	0
83	4	vidimi	xcomp	83	5
83	5	translato	obl:con	84	4
83	5	translato	obl:in	84	8
84	0			0	0
85	3	accors'	subj	85	4
85	3	accors'	ccomp	85	9
85	9	levato	subj	85	6
85	9	levato	obl:per	86	4
86	0			0	0
87	3	parea	subj	87	1
87	3	parea	iobj	87	2
87	3	parea	attr	87	5
87	5	roggio	subj	87	1
87	5	roggio	obl:che	87	8
88	0			0	0
89	3	una	subj	89	1
89	3	una	obl:in	89	5
89	8	feci	subj	0	0
89	8	feci	obj	89	9
89	8	feci	obl:con	88	4
89	8	feci	obl:con	88	8
89	8	feci	obl:a	89	7
90	2	conveniesi	subj	90	1
90	2	conveniesi	obl:a	90	5
91	3	er'	subj	92	2
91	3	er'	attr	91	8
91	8	essausto	subj	92	2
91	8	essausto	obl:di	91	7
92	7	conobbi	subj	92	6
92	7	conobbi	ccomp	93	4
93	1	esso	subj	93	2
93	1	esso	attr	93	3
93	2	litare		0	0
93	3	stato	subj	93	2
93	3	stato	attr	93	4
93	3	stato	attr	93	6
93	4	accetto	subj	93	2
93	6	fausto	subj	93	2
94	0			0	0
95	2	apparvero	subj	95	3
95	2	apparvero	iobj	95	1
95	2	apparvero	obl:con	94	4
95	2	apparvero	obl:a	95	7
