line	token	word	role	arg_line	arg_token
1	0			0	0
2	5	seppe	subj	2	1
2	5	seppe	obj	2	3
2	5	seppe	obj	2	7
2	5	seppe	obl:di	3	4
3	8	velo	subj	3	5
3	8	velo	obl:di	3	7
4	3	faceva	subj	4	2
4	3	faceva	obj	4	5
4	3	faceva	attr	4	6
4	3	faceva	obl:di	5	3
4	6	accorto	subj	4	5
4	6	accorto	obl:di	5	3
5	8	face	subj	5	7
6	2	temon	subj	0	0
6	2	temon	obj	6	1
6	3	gira	subj	6	1
6	3	gira	xcomp	6	5
6	5	venire	subj	6	1
6	5	venire	obl:a	6	7
7	3	affisse	subj	1	3
7	3	affisse	attr	7	1
8	1	venuta	subj	7	5
8	1	venuta	obl:tra	8	5
9	3	volse	subj	7	5
9	3	volse	obj	9	4
9	3	volse	obl:a	9	2
9	3	volse	obl:a	9	8
10	8	messo	subj	10	2
10	8	messo	obl:da	10	7
11	1	Veni	subj	11	2
11	1	Veni	obl:de	11	4
11	5	cantando	subj	10	2
12	1	gridò	subj	10	2
12	1	gridò	obl	12	3
12	8	appresso	subj	12	7
13	0			0	0
14	1	surgeran	subj	13	3
14	1	surgeran	attr	14	2
14	1	surgeran	attr	14	3
14	1	surgeran	obl:a	13	6
15	4	alleluiando	subj	15	3
16	0			0	0
17	2	levar	subj	17	3
17	2	levar	attr	18	1
17	2	levar	obl:in	16	6
17	2	levar	obl:a	17	5
18	0			0	0
19	2	dicean	subj	19	1
19	2	dicean	ccomp	19	3
19	2	dicean	ccomp	21	3
19	3	Benedictus	subj	19	4
19	5	venis	subj	19	4
20	3	gittando	subj	19	1
20	3	gittando	obj	20	2
20	3	gittando	obl:di	20	6
20	3	gittando	obl	20	8
21	3	date	subj	0	0
21	3	date	obj	21	4
21	3	date	obl	21	1
22	2	vidi	subj	22	1
22	2	vidi	obj	23	2
22	2	vidi	obj	24	4
22	2	vidi	obj	25	3
22	2	vidi	obl:in	22	5
23	5	rosata	subj	23	2
24	8	addorno	subj	24	4
25	6	nascere	subj	25	5
25	7	ombrata	subj	25	3
26	0			0	0
27	4	sostenea	subj	27	2
27	4	sostenea	obj	27	3
27	4	sostenea	obl:per	26	4
27	4	sostenea	obl	27	6
28	0			0	0
29	6	saliva	subj	29	1
29	6	saliva	obl:da	29	4
30	2	ricadeva	subj	29	1
30	2	ricadeva	obl:in	30	4
30	2	ricadeva	obl	30	5
30	2	ricadeva	obl:di	30	8
31	4	cinta	subj	32	1
31	4	cinta	obl:di	31	6
32	3	apparve	subj	32	1
32	3	apparve	iobj	32	2
32	3	apparve	obl:in	28	4
32	3	apparve	obl:sovra	31	3
32	3	apparve	obl:sotto	32	6
33	1	vestita	subj	32	1
33	1	vestita	obl:di	33	3
34	0			0	0
35	3	stato	subj	34	5
35	3	stato	obl	35	1
36	4	stupor	subj	0	0
36	4	stupor	obl:a	35	8
36	5	tremando	subj	0	0
36	6	affranto	subj	34	5
36	6	affranto	obl	35	1
37	5	aver	subj	0	0
37	5	aver	obj	37	7
37	5	aver	obl:de	37	4
38	7	mosse	subj	38	4
38	7	mosse	obl:da	38	6
39	4	sentì	subj	34	3
39	4	sentì	obj	39	7
40	7	percosse	subj	41	3
40	7	percosse	obj	40	6
40	7	percosse	obl:ne	40	5
41	8	trafitto	subj	41	4
41	8	trafitto	obj	41	6
42	7	fosse	subj	42	3
42	7	fosse	obl:di	42	6
43	1	volsimi	subj	0	0
43	1	volsimi	obl:a	43	4
43	1	volsimi	obl:col	43	6
44	5	corre	subj	44	4
44	5	corre	obl:col	44	2
44	5	corre	obl:a	44	8
45	2	ha	subj	0	0
45	2	ha	obj	45	3
45	8	afflitto	subj	45	6
46	2	dicere	subj	0	0
46	2	dicere	iobj	46	4
47	5	rimaso	subj	46	7
47	5	rimaso	iobj	47	3
47	8	tremi	subj	0	0
48	1	conosco	subj	0	0
48	1	conosco	obj	48	3
49	5	lasciati	subj	49	2
49	5	lasciati	obj	49	3
49	5	lasciati	attr	49	6
49	6	scemi	subj	49	3
49	6	scemi	obl:di	50	2
50	0			0	0
51	7	die'	subj	0	0
51	7	die'	obj	51	8
51	7	die'	iobj	51	3
51	7	die'	obl:per	51	6
52	3	perdeo	subj	0	0
52	3	perdeo	obj	52	6
53	1	valse	subj	0	0
53	1	valse	obl:a	53	4
54	2	lagrimando	subj	53	4
54	4	tornasser	subj	54	5
55	6	vada	subj	55	3
56	2	pianger	subj	0	0
56	5	piangere	subj	0	0
57	4	conven	subj	57	2
57	4	conven	iobj	57	3
57	4	conven	obl:per	57	7
58	0			0	0
59	1	viene	subj	58	3
59	1	viene	xcomp	59	3
59	3	veder	subj	58	3
59	3	veder	obj	59	5
59	3	veder	obl:in	58	5
59	3	veder	obl:in	58	8
59	7	ministra	subj	59	6
59	7	ministra	obl:per	60	4
60	8	far	subj	58	3
60	8	far	obj	60	10
61	0			0	0
62	3	volsi	subj	0	0
62	3	volsi	obl:a	62	5
63	6	registra	subj	63	1
63	6	registra	obl:di	63	3
64	1	vidi	subj	0	0
64	1	vidi	obj	64	3
64	1	vidi	xcomp	66	1
64	7	appario	subj	64	4
64	7	appario	attr	65	1
64	7	appario	obl:sotto	65	5
65	1	velata	subj	64	4
66	1	drizzar	subj	64	3
66	1	drizzar	obj	66	3
66	1	drizzar	obl:ver	66	5
66	1	drizzar	obl:dal	66	9
67	7	scendea	subj	67	5
67	7	scendea	obj	67	6
67	7	scendea	obl:di	67	9
68	1	cerchiato	subj	67	4
68	1	cerchiato	obl:de	68	4
69	3	lasciasse	subj	67	4
69	3	lasciasse	obj	69	2
69	3	lasciasse	xcomp	69	4
69	4	parer	subj	69	2
69	4	parer	attr	69	5
69	5	manifesta	subj	69	2
70	0			0	0
71	1	continüò	subj	0	0
71	1	continüò	attr	70	6
71	1	continüò	obl:in	70	4
71	1	continüò	obl:come	71	3
71	5	dice	subj	71	4
72	7	reserva	subj	71	4
72	7	reserva	obj	72	5
73	1	Guardaci	subj	0	0
73	4	son	subj	0	0
73	4	son	attr	73	7
73	6	son	subj	0	0
73	6	son	attr	73	7
74	2	degnasti	subj	0	0
74	2	degnasti	xcomp	74	4
74	4	accedere	subj	0	0
74	4	accedere	obl:a	74	6
75	2	sapei	subj	75	3
75	2	sapei	ccomp	75	9
75	6	è	subj	75	8
75	6	è	obl	75	5
75	9	felice	subj	75	8
76	4	cadder	subj	76	2
76	4	cadder	iobj	76	3
76	4	cadder	obl:in	76	8
77	2	veggendomi	subj	0	0
77	2	veggendomi	obl:in	77	4
77	6	trassi	subj	0	0
77	6	trassi	obj	77	5
77	6	trassi	obl:a	77	9
78	4	gravò	subj	78	2
78	4	gravò	obj	78	6
78	4	gravò	iobj	78	3
79	6	par	subj	79	3
79	6	par	attr	79	7
79	6	par	obl:a	79	5
79	7	superba	subj	79	3
79	7	superba	obl:a	79	5
80	3	parve	subj	80	2
80	3	parve	obl:a	80	5
81	1	sente	subj	0	0
81	1	sente	obj	81	3
81	1	sente	obl:di	80	8
82	3	tacque	subj	82	1
